Samples	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__Malignant	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__Endothelial_cells	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__CAF	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__T_cells_CD8	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__NK_cells	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__Macrophages	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__T_cells_CD4	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__B_cells
Mel53	0	0.0029143179971209	0.0103471841139401	0.23007237544983056	0.07526061666519879	0.02657981979824082	0.6143070108575474	0.04051867511812147
Mel58	0	0	4.7081386468693e-4	0.5296744204044243	0.00510114866304219	0.00348385883525671	0.4524549684663954	0.00881478976619452
Mel59	0.05426590432772241	0	0.9152147539788992	0	0	0.02818171162202525	0.00233763007135306	0
Mel60	0	0	0	0.07627030989337061	0	0.04123933090964758	0.33670700491298766	0.5457833542839942
Mel65	0.00138636415830142	0	0	0.19967472302106257	0	0.0090377887513874	0.7448674552411577	0.045033668828091
Mel67	0	0	0	0.13139470885796126	0	0	0.7399850277483572	0.12862026339368157
Mel71	5.9008648264329e-4	1.1169174788755e-4	4.7583313113785e-4	0.5301718822733117	0	0.0255915988685936	0.4408005804545845	0.0022583270418415
Mel72	0	0	0	0.01505873821710311	0	8.2352853595751e-4	0.8578031995011339	0.1263145337458055
Mel74	0	0	0.0024109990269663	0.5069160895696964	0	0.04606459114918937	0.40769911206280823	0.03690920819133971
Mel75	0	7.751731765128e-5	0	0.7714198295170757	0.00196088728333893	0.00154915147850339	0.2248433322815855	1.4928212184545e-4
Mel78	0.03582874608233265	0.00184862678926159	0.15415452342504268	0	0	0.15859540592621335	0.23960238600638156	0.40997031177076815
Mel79	2.3906562051203e-4	0	0	0.4063819144898976	0	0.0015135497484119	0.4609670827804488	0.13089838736072956
Mel80	0	0.00953129798913353	0.0074603856792886	0.14442381920487743	0.00606184454312812	0	0.701228462677866	0.1312941899057064
Mel81	0.01163639514481098	0	0.00509825106729916	0.29575480528941517	0.00847580941646858	0.00252488233072137	0.6641867623966817	0.01232309435460299
Mel82	0	0	0.03113859976781441	0.06748574584289428	0.05277099483430834	0.0258177267950885	0.7923705122829773	0.03041642047691718
Mel84	0	0	4.7069076261263e-4	0.1534590465920402	0.03020959776017174	0.05855416171477004	0.5322591633618373	0.2250473398085681
Mel88	0.06532061525103654	0	0	0.20617584618997303	0.02155756907322782	0.11825097558542176	0.5295464214252145	0.05914857247512629
Mel89	0	0	7.6010629394092e-4	0.2820750140991348	0	0.03223598421634907	0.4116419434467053	0.27328695194387004
Mel94	0	0.01224132689937464	0.00697460655191457	0.00530354977578523	0	0.01406006309321176	0.586811299701476	0.3746091539782377
