Samples	CBSX__sigmatrix_HNSCC_Fig2cd__B_cells	CBSX__sigmatrix_HNSCC_Fig2cd__T_cells_CD8	CBSX__sigmatrix_HNSCC_Fig2cd__T_cells_CD4	CBSX__sigmatrix_HNSCC_Fig2cd__Macrophages	CBSX__sigmatrix_HNSCC_Fig2cd__Dendritic_cells	CBSX__sigmatrix_HNSCC_Fig2cd__Mast_cells	CBSX__sigmatrix_HNSCC_Fig2cd__Myocytes	CBSX__sigmatrix_HNSCC_Fig2cd__CAFs	CBSX__sigmatrix_HNSCC_Fig2cd__Endothelial_cells	CBSX__sigmatrix_HNSCC_Fig2cd__Malignant_cells
Mel53	9.654383006268e-5	0.3495966085269757	0.6001737665009513	0.01822303350717479	0.01296377392111615	0	0	0.00834018067528286	0.01060609303843667	0
Mel58	1.778426824814e-4	0.5567443307807612	0.4364128593253744	0.0022939543509095	0.00437101286047331	0	0	0	0	0
Mel59	0	0	7.7043678065272e-4	0.02650068632330066	0.12113440228051676	0	0	0.85159447461553	0	0
Mel60	0.04967260040449489	0.1372547650137994	0.8001352088831183	0.0069352500637678	0.00600217563481961	0	0	0	0	0
Mel65	7.1121154505419e-4	0.3346001896953485	0.6339169263786826	0.00230888245214254	0.02841207803057399	6.53302617595e-6	6.15089324482e-6	0	2.023357787787e-5	1.779440089987e-5
Mel67	3.3751990024256e-4	0.11936764980351168	0.8779158986089814	0	0.00237893168726426	0	0	0	0	0
Mel71	0	0.4704531122367665	0.4653893244527188	0.00330628454453683	0.06079625030724321	1.4212586074e-7	0	0	3.975809284411e-5	1.512824003011e-5
Mel72	0.00206872075454244	0.01536231597791432	0.9775458602134094	0.00209557072055665	0.00292253806383357	4.99426974369e-6	0	0	0	0
Mel74	1.717406551945e-4	0.7144094297571512	0.26956823955199294	0.00669231435438452	0.00910109807758857	5.7387795925e-7	0	4.271089176368e-5	0	1.389283396554e-5
Mel75	0	0.7812123117885178	0.21605801699937408	0.00272967121210821	0	0	0	0	0	0
Mel78	0.09398865693412664	0	0.5221724845553409	0.0074539402068182	0.21634531320195735	3.337270745183e-4	0	0.14780604246840837	0.01080755993299137	0.00109227562583873
Mel79	2.7213182911937e-4	0.4989198906669148	0.4932293941004675	5.5353946504651e-4	0.00667219865244698	0	0	0	3.5284528600483e-4	0
Mel80	0.00145691483649557	0.22649423012992223	0.7456649224275916	0	0.01877724891119666	0	0	7.4984958432035e-4	0.00685683411047372	0
Mel81	9.9086776077829e-4	0.41617104602053345	0.5733576722368802	0	0	0	0	0	0.00948041398180823	0
Mel82	0.00131191375772583	0.06600450801833187	0.8205775551950129	0.0173121135144432	0.06133912474582072	4.010160557152e-4	0	0.03305376871295026	0	0
Mel84	0.00446694204339433	0.20979815454753037	0.6363060387092191	0.09188292136418544	0.05754594333567076	0	0	0	0	0
Mel88	0.00432301239376959	0.17965702185624438	0.6712403155615672	0.11235463681306544	0.02922617821024819	0	0	0.00319883516510521	0	0
Mel89	0.00432239219842523	0.29680445533322297	0.648543099133263	0.01141339184745713	0.03891666148763178	0	0	0	0	0
Mel94	0.00688242114738278	0	0.9556367395376352	0.00445753617029179	0.0085104013578629	0	0	0.01113928291809632	0.01337361886873097	0
