Gene	B	CD4	CD8CD226negNoAct	CD8CD226negPostAct	CD8CD226plusNoAct	CD8CD226plusPostAct	M1	M2	Mono	Neu	NK
ACAA2	0.81	5.59	569	369.7	692.5	759.2	22.21	197.27	4.64	0.13	3.605
ACAT2	1.64	4.4	371.5	369.68	341.5	581.18	39.105	211.32	1.54	0.35	1.18
ACO1	0.28	1.13	178.5	375.21	201.5	414.71	21.855	25.56	0.82	0.05	0.305
ACOT13	0.12	1.31	228.5	514.675	168.5	577.675	10.25	33.91	0.375	0.54	0.21
ACOT7	0.15	0.57	102.5	60.565	115	480.565	7.08	24.43	0.145	0	0.71
ACP2	0.58	1.75	204.5	327.53	187.5	463.03	35.265	10.58	1.515	0.31	0.485
ADD3	23.83	116.24	2946.5	3457.805	5141.5	1656.305	1.875	13.5	14.84	16.175	14.53
ADGRG3	0	0.01	20	0.025	10	1.04	0	0	0.055	47.605	0.095
ADTRP	0.01	31.63	3.5	0.04	0.525	127.025	0.485	1.55	0.075	0.015	0
AES	65.75	68.16	11921	4163.485	15018	2377.485	39.915	85.01	15.04	0.16	36.655
AKR1A1	5.89	13.64	316.5	534.055	438	1387.555	71.83	105.46	12.955	0.205	3.115
ALPK1	2.32	3.62	5	21.57	25.5	64.07	5.6	11.79	3.2	39.73	0.01
ALS2CL	0	6.62	5	14.5	2.5	11.5	0.04	0.03	0.325	0	0
AMPD2	7.66	8.59	554.5	258.22	381	818.72	11.655	15.17	26.58	189.395	1.375
AMPD3	2.89	2.54	322	533.495	184.5	406.995	26.82	1.06	3.05	5.665	0.12
ANXA5	3.72	7.47	1936.5	2026.385	2625	1802.385	188.27	393.1	66.905	6.04	0.88
ANXA6	12.83	60.54	1104	5255.08	2473.5	7426.58	7.92	1.57	14.835	0.7	33.695
AP2S1	2.21	6.01	584	531.715	675	615.215	49.485	109.4	15.12	2.135	3.74
APOE	0.3	0.17	24.5	0.05	30.5	0.07	664.28	721.96	0.05	0	0.005
ARHGAP15	28.26	69.55	3079.5	1192.35	5566	1644.35	6.675	1.59	9.365	55.085	6.93
ARHGEF11	0.19	6.7	2.57	7.57	12	76.57	10.11	9.73	6.875	11.11	0.02
ATF5	0.72	0.63	322.5	61.075	260.5	437.075	10.54	2.24	1.605	0.125	0.15
ATG16L2	9.43	12.24	546	220.24	455.5	290.24	2.715	6.06	25.195	139.955	2.535
ATP1B1	0.02	0.23	85	136.78	185	271.78	21.24	71.49	0.26	0	0.065
ATP2A3	33.07	19.76	3694	2848.88	3187.5	2117.88	1.335	5.15	2.465	14.58	6.19
ATP8B2	1.68	23.8	1088	2531.245	2184.5	3536.745	1.14	0.07	0.225	0.11	2.315
BANK1	44.47	0.04	1.155	2.155	2.5	4.155	0.01	0.01	0.34	0	0.035
BCAT1	0.02	0.06	23	480.555	5.055	1598.555	31.79	3.07	1.185	0.215	0.01
BCL11B	0	34.99	31474.5	6950.15	24646.5	3028.65	0	0	0.07	0	1.535
