	M1	M2	Mono	TAM_patients
AADAC	0	0	0	0.32630437036201
AC008878.2	0	0	0	0.572582995628588
AC011479.1	0.019136865952025	0.166216553689328	0	0
AC011498.4	0	0	0	0.557743125779126
AC074143.1	0	0	0	2.24798615949413
AC099850.2	0.632959069350849	0.372816583940795	0.316186852514557	0
ACAN	0.089057525911003	0.008603750282731	0	0.29288049709316
ACE2	0	0	0	0.043468984881875
ACSM4	0	0.011592452414858	0.039516823531481	0
ADAM33	0	0	0	0.671118047216596
ADAMTSL2	0	0	0	0.737370494185462
ADGRB2	0	0	0	0.324113039044705
ADIPOQ	0	0.467960917244193	0	0
ADRA2C	0	0	0	1.94392959469874
AGBL1	0	0	0	0.021451200871807
AGBL4	0	0	0	0.008172570886321
AIF1L	0	0.010282142376325	0	0.650961153040488
AL121845.2	0	0.256209362017987	0.191065331563417	3.59987886161536
ALDH1L1	0	0	0	0.185492767277058
ALDH3B2	0	0	0	0.542688073098428
ALPL	0	0.003986961317132	0	0.896350026411935
ANKRD13B	0	0.044599958145497	0.043274285961683	0.704930735776534
ANO1	0.010208216425454	0	0	1.84696084850625
APLP1	0.062009372892197	0	0	0.79192419077878
ARHGAP40	0	0	0	0.783247007416357
ARHGAP8	0	0.007725720152021	0.022108358100326	0.909639446064073
ARL14	0	0	0	2.66628476892035
ARSI	0.008815220704979	0	0	0.250601345852828
ARSJ	0	0.006916883891446	0	0.488637837382409
ASPG	0	0	0	0.231473193769949
ATP1A4	0.046593070368038	0	0	0.131316554934949
AVPR1A	0.044075984850012	0	0	1.01705143576623
AZGP1	0	0	0	2.69343014928705
B4GALNT4	0	0	0	0.763626366796046
BARX2	0	0	0	0.24387289226075
BCL2L10	0	0	0	0.949210090249872
BCL2L14	3.27056655393551	0	0	0.167900713549427
BCL6B	0.282495214795289	0	0	2.03906591801944
BDKRB2	0.008513998508641	0	0	1.05056032102109
BGN	0	0.018750835074004	0	2.29989912204042
BPIFB1	0	0	0	2.50166976175845
BTNL9	0	0	0	1.26960609344798
C6orf141	0	0	0	1.91378023952135
CA9	0	0	0	1.77763796274645
CACNA1E	0.000688245222613	0	0	0.065834059810049
CACNA1H	0	0	0	1.00554363034751
CACNG6	0	0	0	0.283276512432532
CADPS	0	0	0	0.31789543715025
CALCR	0.002024532633612	0.203518252798483	0.104660515279901	0.02056837644215
CAMSAP3	0.06560653891935	0.025079945651949	0	1.32203737936137
CAP2	0	0	0	0.058708039635736
CAPN12	0.016858751025919	0.015525190180419	0	1.14057267794264
CARD10	0.011504084154035	0	0	2.39155697447461
CBLC	0	0	0	1.0054984957539
CCDC102A	0.060519290033229	0	0	1.0412533821826
CCDC114	0.014799847630801	0	0	1.19716349662493
CCDC187	0	0	0	1.07984451792804
CCDC60	0	0	0	0.032563451378221
CCDC63	0.024732678102466	0	0	0
CCL26	0	3.13970995857504	0	0
CCN2	0	0	0	4.8671697223488
CD164L2	0.070687336188275	0	0	0.849272812799639
CD207	0.282121408179632	0	0	2.74693471888979
CD248	0	0.105937320529754	0.102879764370826	2.52116656677783
CDH4	0	0	0	0.031025277783073
CDH6	0	0	0	0.162589297766777
CDHR4	0	0	0	1.21578928124498
CELA1	0.07143962070089	0.081752731967366	0.137499575354013	0
CELA2B	0	0	0	0.093497208245338
CFAP46	0	0	0.004102429630948	0.438425039839773
CFAP52	0	0	0	0.305950878123952
CFAP57	0	0	0	0.302015195928089
CFAP73	0	0	0	1.38924694411943
CFAP74	0	0	0	0.511148467534179
CGB7	0	0	0	1.1089360465033
CHST1	0	0	0	0.591324120146739
CHST6	0.028456919940271	0	0	1.30471831272107
CHST9	0	0	0	0.109476865934896
CLDN9	0	0	0	1.83634307417361
CLEC4C	0	0	0	0.351720643022845
CLIC3	1.07870695505666	0.147149267136389	0	2.58036835241248
CNTN1	0	0	0	0.014598179394337
CNTN4	0	0	0	0.004050904695292
CNTNAP3	0	0	0	0.093538068429443
CNTNAP3B	0	0	0.001154508339929	0.103716125027804
COL11A1	0	0	0	0.212627351094543
COL4A5	0	0	0	0.393274896279934
CPA3	0.023565158784858	0	0	2.91652620846962
CPLX1	0	0	0	0.140452180703608
CRH	0	1.38032033810119	0	0
CROCC2	0	0	0	0.434063613212707
CRYAB	0	0	0	0.906041079384804
CRYBB1	0	1.78184929651701	2.13961026045408	0.182185103275599
CST2	0	0	0	0.814691232125222
CTHRC1	0.076748032169597	0	0	1.21786655495487
CTRC	0	0	0	1.10260811930681
CX3CL1	0.077515138947743	0	0	3.01912193180355
CYP27C1	0	0	0	0.669383006997621
CYP2J2	0.540082668919701	0	0	0.261716203292511
CYP7A1	0.242511152767811	0.055509667085921	0	0
DAPK2	0.053856898020396	0	0.004064765367675	0.837025456611153
DCC	0	0	0	0.016149192426448
DCST2	0.021882375083099	0.018500763371987	0	0.478576363940167
DEFB1	0.685205619243589	0	0	0.156214201678391
