signature,Gide - ROC AUC,Hugo - ROC AUC,Riaz - ROC AUC,CV all datasets - ROC AUC,CV all datasets test Cloughesy - ROC AUC,Gide - AP,Hugo - AP,Riaz - AP,CV all datasets - AP,CV all datasets test Cloughesy - AP,Gide - MCC,Hugo - MCC,Riaz - MCC,CV all datasets - MCC,CV all datasets test Cloughesy - MCC
quanTIseq,0.48250000000000004,0.4277777777777778,0.5984848484848485,0.5461538461538461,0.7407407407407407,0.44560435979948687,0.4265059143929113,0.6442172776054355,0.6283983407896451,0.9895625061406057,0.0,0.15118578920369088,0.0,0.27789338971674993,0.0
MCP,0.5950000000000001,0.4666666666666667,0.43939393939393934,0.6923076923076923,0.9629629629629629,0.5366109584859585,0.514227207977208,0.5812562480519137,0.7236323224942149,0.9986772486772484,0.05892556509887896,0.08574929257125441,0.0,0.27789338971674993,0.1005037815259212
XCELL,,0.49444444444444446,0.44318181818181823,0.6923076923076923,0.037037037037037035,,0.4697003856136983,0.5075979331935719,0.6919672718585761,0.9101047763345791,,0.0,-0.1284457725980754,0.0,0.037037037037037035
EpiDISH_BPRNACan,0.7075,0.6,0.7272727272727273,0.6923076923076923,0.2222222222222222,0.5996049947090216,0.6019354860115729,0.7983506009241305,0.6056860530773575,0.9507573336538029,0.05095246653650681,0.04662524041201569,0.0,0.06036327274391503,0.037037037037037035
DeconRNASeq_BPRNACan,,0.37777777777777777,0.5303030303030303,0.6538461538461539,0.5925925925925926,,0.44153226603691,0.6204001407326215,0.5601503387916432,0.9819400549509032,,-0.22294816068526147,0.025854384499750957,0.04059989714705751,0.0
EpiDISH_BPRNACanProMet,0.72,0.6,0.7651515151515151,0.6461538461538461,0.7037037037037037,0.5974168949391472,0.5910275111362068,0.8102513227513228,0.5798292709705752,0.9877988377102707,-0.12649110640673517,0.1492405014489273,0.0,0.0,0.0
DeconRNASeq_BPRNACanProMet,,0.4555555555555555,0.43939393939393934,0.5307692307692308,0.8148148148148148,,0.4388561207311207,0.5852312404943985,0.5318739827946989,0.9928563137822395,,-0.09068453126375146,-0.12336594280495668,-0.1215783580010781,0.0
EpiDISH_BPRNACan3DProMet,0.7475,0.6555555555555556,0.7272727272727273,0.6615384615384615,0.7037037037037037,0.6988786905824445,0.6166509155096112,0.8095021614329395,0.6372744156951318,0.9877988377102707,0.19764235376052372,0.04662524041201569,0.0,0.04059989714705751,0.037037037037037035
DeconRNASeq_BPRNACan3DProMet,,0.40555555555555556,0.4469696969696969,0.43076923076923074,0.9629629629629629,,0.41899632549888305,0.603637970226256,0.4111931410186559,0.9986772486772484,,-0.22294816068526147,0.0657951694959769,-0.19889806323953876,0.0
EpiDISH_CBSX_NSCLC,,0.6166666666666666,,0.5,0.6296296296296297,,0.601902053260749,,0.46852243238432495,0.9839976681196274,,0.0,,-0.18698939800169143,0.0
DeconRNASeq_CBSX_NSCLC,,0.3666666666666667,0.5,,,,0.4018645810922699,0.5603446869271677,,,,0.0316227766016838,0.0,,
EpiDISH_CBSX_HNSCC,0.45249999999999996,0.5055555555555555,0.3484848484848485,0.6076923076923076,0.18518518518518517,0.42769488945068934,0.511430694635029,0.5038165397933705,0.6480249641662685,0.9452899615197641,0.0074535599249993,-0.2,0.20966480425560383,0.0,0.0
DeconRNASeq_CBSX_HNSCC,,0.5611111111111111,0.37121212121212116,,,,0.5523543324630281,0.5622664300447313,,,,0.0,0.0657951694959769,,
EpiDISH_CBSX_melanoma,0.4275,0.43333333333333335,,,,0.3654207484566505,0.45888914326414326,,,,-0.11899687563233083,0.0,,,
DeconRNASeq_CBSX_melanoma,0.3875,0.4166666666666667,,,,0.3774296117710472,0.40562678062678065,,,,-0.30052038200428266,0.0,,,
EpiDISH_CBSX_LM22,0.4825,0.4222222222222222,0.3560606060606061,0.5076923076923077,0.4444444444444444,0.43284457842762236,0.40666335978835977,0.550243089689011,0.4704768178681221,0.9723319524506437,0.14155521462623263,-0.07905694150420949,-0.1284457725980754,0.06036327274391503,-0.19245008972987526
DeconRNASeq_CBSX_LM22,0.495,0.3277777777777778,0.5075757575757576,0.5538461538461539,1.0,0.40402352180874324,0.42269185578783103,0.5180331174816469,0.5190302089215133,0.9999999999999998,-0.18116432546313532,0.0,-0.1284457725980754,0.2802242691589025,0.15480678800427466
CIBERSORTx_CBSX_NSCLC,0.7075,0.6611111111111112,0.5909090909090909,0.6307692307692307,0.9259259259259259,0.5819550957309746,0.6759472934472935,0.6683757215007216,0.6086754248167291,0.9973055065647656,0.35950025121272106,0.21926450482675727,0.17236256333167305,0.24308621740219885,0.0
CIBERSORTx_CBSX_HNSCC,0.48249999999999993,0.5222222222222221,0.34090909090909094,,,0.448801803632815,0.44862782985848004,0.5403824392075671,,,-0.06435959029348383,0.0,0.0,,
CIBERSORTx_CBSX_melanoma,0.435,0.41111111111111115,,,,0.3674206200851995,0.40944880963263314,,,,-0.09958705948858224,0.0,,,
CIBERSORTx_CBSX_LM22,0.5025,0.4888888888888889,0.5681818181818181,0.7846153846153847,0.9629629629629629,0.4967561317393023,0.4409746875507745,0.6506718184349763,0.7519703243616287,0.9986772486772484,0.07504787743864563,0.0,0.12336594280495668,0.0,0.0
