signature,Gide - ROC AUC,Hugo - ROC AUC,Riaz - ROC AUC,CV all datasets - ROC AUC,CV all datasets test Cloughesy - ROC AUC,Gide - AP,Hugo - AP,Riaz - AP,CV all datasets - AP,CV all datasets test Cloughesy - AP,Gide - MCC,Hugo - MCC,Riaz - MCC,CV all datasets - MCC,CV all datasets test Cloughesy - MCC
quanTIseq,0.48250000000000004,0.4277777777777778,,0.5461538461538461,0.7407407407407407,0.44560435979948687,0.4265059143929113,,0.6283983407896451,0.9895625061406057,0.0,0.05976143046671969,,0.27789338971674993,0.0
MCP,0.5950000000000001,0.4666666666666667,0.36363636363636365,0.6923076923076923,0.9629629629629629,0.5366109584859585,0.514227207977208,0.5114008311376732,0.7236323224942149,0.9986772486772484,0.05892556509887896,0.08574929257125441,-0.013430382733756338,0.27789338971674993,0.1005037815259212
XCELL,,0.5111111111111111,0.4166666666666667,0.6846153846153846,0.0,,0.508034188034188,0.4925264105133536,0.6998839385252428,0.8915862578160605,,-0.01889822365046136,0.0,0.27789338971674993,-0.693888666488711
EpiDISH_BPRNACan,0.7150000000000001,0.6,0.7878787878787878,0.6923076923076923,0.2222222222222222,0.6125486986233937,0.5985494276255146,0.829037724554029,0.6056860530773575,0.9507573336538029,0.05095246653650681,0.04662524041201569,0.20966480425560383,0.06036327274391503,0.037037037037037035
DeconRNASeq_BPRNACan,,0.37777777777777777,0.5454545454545455,0.6615384615384615,0.6296296296296297,,0.44153226603691,0.6257878086202895,0.5893711180124224,0.9839976681196274,,-0.22294816068526147,0.025854384499750957,0.18116432546313532,0.0
EpiDISH_BPRNACanProMet,0.7374999999999999,0.6,0.75,0.6846153846153846,0.6666666666666666,0.6231207350876469,0.5910275111362068,0.8087286286934626,0.6576665725578769,0.9859469858584189,-0.12649110640673517,0.1492405014489273,0.2041241452319315,0.18116432546313532,0.0
DeconRNASeq_BPRNACanProMet,,0.4555555555555555,0.43939393939393934,0.5307692307692308,0.8148148148148148,,0.4388561207311207,0.5852312404943985,0.5318739827946989,0.9928563137822395,,-0.09068453126375146,-0.12336594280495668,-0.1215783580010781,0.0
EpiDISH_BPRNACan3DProMet,0.7525000000000001,0.6555555555555556,0.7272727272727273,0.6230769230769231,0.7037037037037037,0.7039038737326275,0.6144130869130869,0.8095021614329395,0.5934648918856079,0.9877988377102707,0.19764235376052372,0.1492405014489273,0.4392976851069794,0.24308621740219885,0.037037037037037035
DeconRNASeq_BPRNACan3DProMet,,0.41666666666666663,0.4393939393939394,0.43076923076923074,0.9629629629629629,,0.41758173671873366,0.6203046368929227,0.4111931410186559,0.9986772486772484,,-0.22294816068526147,0.0657951694959769,-0.19889806323953876,0.0
EpiDISH_CBSX_NSCLC,,0.5833333333333334,,0.49230769230769234,0.6296296296296297,,0.5198193157368349,,0.46595375106564363,0.9839976681196274,,0.05976143046671969,,0.06036327274391503,0.0
DeconRNASeq_CBSX_NSCLC,,0.3666666666666667,0.5,,,,0.4018645810922699,0.5603446869271677,,,,0.0316227766016838,0.0,,
EpiDISH_CBSX_HNSCC,0.45249999999999996,0.5055555555555555,0.3484848484848485,,,0.42769488945068934,0.511430694635029,0.5038165397933705,,,0.0074535599249993,-0.2,0.20966480425560383,,
DeconRNASeq_CBSX_HNSCC,,0.55,0.3787878787878788,,,,0.5589648820105476,0.5660543088326101,,,,0.15811388300841897,0.0657951694959769,,
EpiDISH_CBSX_melanoma,0.4275,0.5611111111111111,,,,0.3777852144075102,0.632945587021674,,,,-0.36065576474688615,0.0,,,
DeconRNASeq_CBSX_melanoma,0.38749999999999996,0.4166666666666667,,,,0.36614427511213365,0.40562678062678065,,,,-0.17972297355158082,0.0,,,
EpiDISH_CBSX_LM22,0.5375,0.4000000000000001,0.3484848484848485,0.5076923076923077,0.4444444444444444,0.47112962850197265,0.3945296499166468,0.5429673038806165,0.4704768178681221,0.9723319524506437,0.058693918565342215,-0.1631883414420549,-0.1284457725980754,0.06036327274391503,-0.19245008972987526
DeconRNASeq_CBSX_LM22,0.495,0.39999999999999997,0.5075757575757576,0.5538461538461539,1.0,0.40402352180874324,0.3988266492136461,0.5180331174816469,0.5190302089215133,0.9999999999999998,-0.18116432546313532,-0.18232322463624387,-0.1284457725980754,0.2802242691589025,0.15480678800427466
CIBERSORTx_CBSX_NSCLC,0.71,0.6611111111111112,0.5909090909090909,0.6461538461538461,0.9259259259259259,0.5842528898486217,0.6759472934472935,0.6683757215007216,0.609548440689745,0.9973055065647656,0.35950025121272106,0.21926450482675727,0.2326210525996177,0.17565506213798923,0.037037037037037035
CIBERSORTx_CBSX_HNSCC,0.4600000000000001,0.5222222222222221,0.34090909090909094,,,0.43037168616118215,0.4514056076362578,0.5403824392075671,,,-0.0024573659359149523,-0.31622776601683794,0.0,,
CIBERSORTx_CBSX_melanoma,0.435,0.49444444444444446,0.48484848484848486,,,0.3674206200851995,0.5773454323454323,0.578354686187167,,,-0.09958705948858224,0.0,0.0,,
CIBERSORTx_CBSX_LM22,0.5025,0.5333333333333333,0.5151515151515151,0.6076923076923076,0.9629629629629629,0.4967561317393023,0.46462632275132276,0.6116064448107792,0.5383513270355376,0.9986772486772484,0.07504787743864563,-0.11952286093343938,0.1460766368670358,0.07815751585783592,0.2222222222222222
