signature,SEX - coef prop,AAGE - coef prop,TMB - coef prop,SEX - ROC AUC,SEX deconv only - ROC AUC,SEX - diff ROC AUC,AAGE - ROC AUC,AAGE deconv only - ROC AUC,AAGE - diff ROC AUC,TMB - ROC AUC,TMB deconv only - ROC AUC,TMB - diff ROC AUC,SEX - AP,SEX deconv only - AP,SEX - diff AP,AAGE - AP,AAGE deconv only - AP,AAGE - diff AP,TMB - AP,TMB deconv only - AP,TMB - diff AP,SEX - MCC,SEX deconv only - MCC,SEX - diff MCC,AAGE - MCC,AAGE deconv only - MCC,AAGE - diff MCC,TMB - MCC,TMB deconv only - MCC,TMB - diff MCC
quanTIseq,0.0,0.0,0.06330182682672866,0.3833333333333333,0.3833333333333333,0.0,0.3833333333333333,0.3833333333333333,0.0,0.45,0.525,-0.07500000000000001,0.2748841354723708,0.2748841354723708,0.0,0.2748841354723708,0.2748841354723708,0.0,0.505,0.4769230769230769,0.02807692307692311,-0.1613743060919757,-0.1613743060919757,0.0,-0.1613743060919757,-0.1613743060919757,0.0,-0.025,-0.15811388300841897,0.13311388300841898
MCP,0.0,0.09744664079357765,0.09304205823928868,0.43333333333333335,0.3333333333333333,0.10000000000000003,0.3,0.3333333333333333,-0.033333333333333326,0.525,0.47500000000000003,0.04999999999999999,0.2996336996336996,0.26293956043956046,0.036694139194139164,0.2474206349206349,0.26293956043956046,-0.015518925518925558,0.45793650793650786,0.4272222222222223,0.030714285714285583,-0.1613743060919757,-0.29880715233359845,0.13743284624162275,-0.27774602993176545,-0.29880715233359845,0.021061122401833,0.18446619684315546,-0.21957751641341997,0.4040437132565754
EpiDISH_BPRNACan,0.0,0.0,0.08627385351317861,0.5,0.5,0.0,0.5,0.5,0.0,0.7000000000000001,0.725,-0.02499999999999991,0.44963369963369965,0.44963369963369965,0.0,0.44963369963369965,0.44963369963369965,0.0,0.7176190476190476,0.7388888888888889,-0.021269841269841328,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.0
DeconRNASeq_BPRNACan,0.0,0.0,0.24520175089533086,0.38333333333333336,0.38333333333333336,0.0,0.38333333333333336,0.38333333333333336,0.0,0.75,0.625,0.125,0.3286538461538462,0.3286538461538462,0.0,0.3286538461538462,0.3286538461538462,0.0,0.6087301587301587,0.5242424242424242,0.0844877344877345,0.03984095364447979,0.03984095364447979,0.0,0.03984095364447979,0.03984095364447979,0.0,0.3,0.31754264805429416,-0.017542648054294174
EpiDISH_BPRNACanProMet,0.0,0.05862274067644519,0.1310181177013316,0.4666666666666667,0.4833333333333333,-0.016666666666666607,0.41666666666666663,0.4833333333333333,-0.06666666666666665,0.625,0.625,0.0,0.43813519813519813,0.3638095238095238,0.07432567432567433,0.33095238095238094,0.3638095238095238,-0.03285714285714286,0.5,0.5909090909090908,-0.09090909090909083,0.3872983346207417,0.15,0.2372983346207417,-0.015430334996209192,0.15,-0.16543033499620918,0.09759000729485333,0.09759000729485333,0.0
DeconRNASeq_BPRNACanProMet,0.03580669638279679,0.0,0.04368119662069769,0.65,0.6166666666666667,0.033333333333333326,0.6166666666666667,0.6166666666666667,0.0,0.525,,,0.4293040293040293,0.4153174603174603,0.01398656898656897,0.4153174603174603,0.4153174603174603,0.0,0.456923076923077,,,-0.053708615552957466,0.1649915822768611,-0.21870019782981856,0.1649915822768611,0.1649915822768611,0.0,0.025,,
EpiDISH_BPRNACan3DProMet,0.0,0.04946426142646322,0.11778604822015334,0.5666666666666667,0.5166666666666666,0.050000000000000044,0.5333333333333333,0.5166666666666666,0.01666666666666672,0.575,0.525,0.04999999999999993,0.38965034965034967,0.33415584415584415,0.05549450549450552,0.37082251082251083,0.33415584415584415,0.03666666666666668,0.5709090909090908,0.5433333333333333,0.027575757575757476,0.15,0.15,0.0,-0.015430334996209192,0.15,-0.16543033499620918,0.09759000729485333,0.21957751641341997,-0.12198750911856664
DeconRNASeq_BPRNACan3DProMet,0.02386476928260456,0.020945760629534675,0.7940836501206981,0.5666666666666667,0.5833333333333334,-0.01666666666666672,0.55,0.5833333333333334,-0.033333333333333326,0.575,,,0.35912698412698413,0.3924603174603175,-0.03333333333333338,0.37523809523809526,0.3924603174603175,-0.01722222222222225,0.5321789321789321,,,0.03984095364447979,0.03984095364447979,0.0,0.03984095364447979,0.03984095364447979,0.0,0.337099931231621,,
EpiDISH_CBSX_NSCLC,0.0,0.0,0.2470444533542587,0.4833333333333333,0.4833333333333333,0.0,0.4833333333333333,0.4833333333333333,0.0,0.675,0.525,0.15000000000000002,0.3146336996336996,0.3146336996336996,0.0,0.3146336996336996,0.3146336996336996,0.0,0.6385281385281385,0.4357142857142857,0.20281385281385278,-0.1613743060919757,-0.1613743060919757,0.0,-0.1613743060919757,-0.1613743060919757,0.0,0.4147575310031266,0.3,0.11475753100312663
DeconRNASeq_CBSX_NSCLC,0.0,0.039074456357376164,,0.25,0.25,0.0,0.2333333333333334,0.25,-0.016666666666666607,,,,0.2894597069597069,0.2894597069597069,0.0,0.2561263736263736,0.2894597069597069,-0.033333333333333326,,,,-0.27774602993176545,-0.27774602993176545,0.0,-0.27774602993176545,-0.27774602993176545,0.0,,,
EpiDISH_CBSX_HNSCC,,0.033122809459953856,0.18757311472311872,,0.5166666666666666,,0.49999999999999994,0.5166666666666666,-0.016666666666666663,0.65,0.625,0.025000000000000022,,0.5088235294117647,,0.4888235294117647,0.5088235294117647,-0.019999999999999962,0.6176190476190475,0.6112087912087911,0.0064102564102563875,,0.24688535993934707,,0.24688535993934707,0.24688535993934707,0.0,0.22821773229381923,-0.10112997936948631,0.32934771166330556
DeconRNASeq_CBSX_HNSCC,0.0,0.0,,0.31666666666666665,0.31666666666666665,0.0,0.31666666666666665,0.31666666666666665,0.0,,0.44999999999999996,,0.2588235294117647,0.2588235294117647,0.0,0.2588235294117647,0.2588235294117647,0.0,,0.4084415584415584,,-0.1613743060919757,-0.1613743060919757,0.0,-0.1613743060919757,-0.1613743060919757,0.0,,-0.09759000729485333,
EpiDISH_CBSX_melanoma,,0.10808049420020802,0.12868591644616162,,0.5333333333333334,,0.5166666666666667,0.5333333333333334,-0.01666666666666672,0.575,0.325,0.24999999999999994,,0.37813519813519814,,0.32692307692307687,0.37813519813519814,-0.051212121212121264,0.46571428571428575,0.356923076923077,0.10879120879120874,,-0.09128709291752769,,0.09128709291752769,-0.09128709291752769,0.18257418583505539,0.025,-0.3,0.325
DeconRNASeq_CBSX_melanoma,,,0.07925130814382622,,,,,,,0.3,0.125,0.175,,,,,,,0.32805194805194804,0.2855050505050505,0.042546897546897555,,,,,,,-0.5270462766947299,-0.625,0.09795372330527008
EpiDISH_CBSX_LM22,0.009944772372152773,0.036516262314698754,0.0,0.41666666666666674,0.41666666666666674,0.0,0.3666666666666667,0.41666666666666674,-0.050000000000000044,0.43750000000000006,0.43750000000000006,0.0,0.4249074454956808,0.4249074454956808,0.0,0.3149562855445208,0.4249074454956808,-0.10995115995116,0.44939393939393935,0.44939393939393935,0.0,-0.27774602993176545,-0.27774602993176545,0.0,-0.34993385618385614,-0.27774602993176545,-0.07218782625209069,-0.35,-0.35,0.0
DeconRNASeq_CBSX_LM22,0.0,0.0,0.0791501569940466,0.4666666666666666,0.4666666666666666,0.0,0.4666666666666666,0.4666666666666666,0.0,0.5,0.375,0.125,0.31318860877684407,0.31318860877684407,0.0,0.31318860877684407,0.31318860877684407,0.0,0.5408119658119659,0.47987012987012984,0.06094183594183605,-0.23570226039551584,-0.23570226039551584,0.0,-0.23570226039551584,-0.23570226039551584,0.0,-0.21957751641341997,-0.3,0.08042248358658002
CIBERSORTx_CBSX_NSCLC,0.0,0.0,0.044384822133855216,0.4666666666666667,0.4666666666666667,0.0,0.4666666666666667,0.4666666666666667,0.0,0.575,0.65,-0.07500000000000007,0.3188235294117647,0.3188235294117647,0.0,0.3188235294117647,0.3188235294117647,0.0,0.5523809523809524,0.6542424242424243,-0.10186147186147188,0.03984095364447979,0.03984095364447979,0.0,0.03984095364447979,0.03984095364447979,0.0,0.4330127018922193,-0.025,0.4580127018922193
CIBERSORTx_CBSX_HNSCC,0.0,0.0,0.1539771526798621,0.6833333333333333,0.6833333333333333,0.0,0.6833333333333333,0.6833333333333333,0.0,0.7250000000000001,0.675,0.050000000000000044,0.5088888888888888,0.5088888888888888,0.0,0.5088888888888888,0.5088888888888888,0.0,0.6533333333333333,0.6251948051948051,0.02813852813852824,0.3337119062359573,0.3337119062359573,0.0,0.3337119062359573,0.3337119062359573,0.0,0.4330127018922193,0.05773502691896257,0.3752776749732567
CIBERSORTx_CBSX_melanoma,0.0,0.1205955356720178,0.1575826905224719,0.5833333333333334,0.5833333333333334,0.0,0.5,0.5833333333333334,-0.08333333333333337,0.625,0.475,0.15000000000000002,0.3702564102564103,0.3702564102564103,0.0,0.32499999999999996,0.3702564102564103,-0.04525641025641036,0.5857142857142856,0.53,0.055714285714285605,0.06356417261637282,0.06356417261637282,0.0,0.09128709291752769,0.06356417261637282,0.027722920301154877,0.09759000729485333,0.15811388300841897,-0.06052387571356564
CIBERSORTx_CBSX_LM22,0.011046422009310356,0.007495506033139106,0.0,0.6166666666666666,0.6333333333333334,-0.01666666666666683,0.6,0.6333333333333334,-0.03333333333333344,0.65,,,0.5334267040149394,0.5445378151260505,-0.011111111111111072,0.5227124183006536,0.5445378151260505,-0.02182539682539686,0.6746031746031746,,,0.06356417261637282,0.24688535993934707,-0.18332118732297426,0.06356417261637282,0.24688535993934707,-0.18332118732297426,0.18446619684315546,,
