signature,Gide - ROC AUC,Hugo - ROC AUC,Riaz - ROC AUC,CV all datasets - ROC AUC,CV all datasets test Cloughesy - ROC AUC,Gide - AP,Hugo - AP,Riaz - AP,CV all datasets - AP,CV all datasets test Cloughesy - AP,Gide - MCC,Hugo - MCC,Riaz - MCC,CV all datasets - MCC,CV all datasets test Cloughesy - MCC
quanTIseq,0.48,0.43333333333333335,,0.5461538461538461,0.7407407407407407,0.4445853380603565,0.4282916286786256,,0.6283983407896451,0.9895625061406057,0.0,0.15118578920369088,,0.27789338971674993,0.0
MCP,0.5950000000000001,0.4666666666666667,0.37878787878787884,0.6923076923076923,0.9629629629629629,0.5366109584859585,0.514227207977208,0.5129499764368186,0.7236323224942149,0.9986772486772484,0.05892556509887896,0.08574929257125441,-0.24960095744714741,0.27789338971674993,0.1005037815259212
XCELL,,0.48333333333333334,0.4166666666666667,0.8153846153846154,0.1111111111111111,,0.47481806095297147,0.5557032678314143,0.765050505050505,0.9317097146061839,,0.0,0.0657951694959769,0.7404795900698569,-0.17916128329552333
EpiDISH_BPRNACan,0.74,0.5666666666666667,0.7954545454545454,0.676923076923077,0.2222222222222222,0.6392332019233147,0.5657872823633693,0.8457043912206957,0.5958958432871476,0.9507573336538029,-0.12649110640673517,0.04662524041201569,0.2041241452319315,0.17565506213798923,0.05337605126836238
DeconRNASeq_BPRNACan,,0.3666666666666667,0.5303030303030303,0.6692307692307693,0.5185185185185185,,0.3956212929520239,0.6204001407326215,0.6149068322981367,0.9774465908986156,,-0.22294816068526147,0.025854384499750957,0.3882901373576604,0.0
EpiDISH_BPRNACanProMet,0.7374999999999999,0.6111111111111112,0.75,0.6615384615384615,0.6666666666666666,0.6231207350876469,0.5947869096324473,0.8087286286934626,0.584809429700734,0.9859469858584189,-0.12649110640673517,0.04662524041201569,0.2041241452319315,0.18116432546313532,0.037037037037037035
DeconRNASeq_BPRNACanProMet,,0.40555555555555556,0.43939393939393934,0.5461538461538462,0.8148148148148148,,0.4088109710829794,0.5852312404943985,0.54048509390581,0.9928563137822395,,-0.2539166875385041,-0.12336594280495668,-0.1215783580010781,0.0
EpiDISH_BPRNACan3DProMet,0.7275,0.6555555555555556,0.7272727272727273,0.6384615384615384,0.5555555555555556,0.6612606160400278,0.6144130869130869,0.8095021614329395,0.5871656845569888,0.9797614057134303,0.19764235376052372,0.1492405014489273,0.2041241452319315,0.04059989714705751,0.037037037037037035
DeconRNASeq_BPRNACan3DProMet,,0.3944444444444445,0.4393939393939394,0.43846153846153846,0.9629629629629629,,0.4065407547538386,0.6203046368929227,0.42119314101865585,0.9986772486772484,,-0.31622776601683794,0.0657951694959769,-0.19889806323953876,0.0
EpiDISH_CBSX_NSCLC,,0.48888888888888893,,0.5076923076923077,0.6296296296296297,,0.4563284268241194,,0.4688121426740352,0.9839976681196274,,-0.2529822128134704,,0.06036327274391503,0.0
DeconRNASeq_CBSX_NSCLC,,,0.5,,,,,0.5603446869271677,,,,,0.0,,
EpiDISH_CBSX_HNSCC,,0.5055555555555555,0.3409090909090909,,,,0.511430694635029,0.5001128360896667,,,,-0.2,0.20966480425560383,,
DeconRNASeq_CBSX_HNSCC,,0.45000000000000007,0.3787878787878788,,,,0.5429536687083126,0.5660543088326101,,,,0.15811388300841897,0.0657951694959769,,
EpiDISH_CBSX_melanoma,0.43499999999999994,0.5888888888888888,,,,0.378693145861591,0.6439074448942871,,,,-0.36065576474688615,0.21926450482675727,,,
DeconRNASeq_CBSX_melanoma,0.38249999999999995,0.4166666666666667,,,,0.3606803985562949,0.40562678062678065,,,,-0.11078234188139946,0.0,,,
EpiDISH_CBSX_LM22,0.49,0.4055555555555556,0.3484848484848485,0.576923076923077,0.4444444444444444,0.4358951477497434,0.412114835700362,0.5429673038806165,0.5345430294343337,0.9723319524506437,0.10507293933570698,-0.2345207879911715,-0.1284457725980754,-0.036980013081681945,-0.13245323570650439
DeconRNASeq_CBSX_LM22,0.5025000000000001,0.39999999999999997,0.48484848484848486,0.5538461538461539,1.0,0.38651472926465436,0.3988266492136461,0.5083911415954759,0.5190302089215133,0.9999999999999998,-0.22478059477960657,-0.18232322463624387,-0.12336594280495668,0.2802242691589025,0.15480678800427466
CIBERSORTx_CBSX_NSCLC,0.71,0.6611111111111111,0.5909090909090909,0.6230769230769231,0.9259259259259259,0.5842528898486217,0.6812128612128612,0.6683757215007216,0.6041299702712746,0.9973055065647656,0.35950025121272106,0.0316227766016838,0.2326210525996177,0.04059989714705751,0.037037037037037035
CIBERSORTx_CBSX_HNSCC,0.4925,0.5222222222222223,0.34090909090909094,,,0.450393507218415,0.4628822158233923,0.5401420545921825,,,-0.08861469461982083,-0.13483997249264842,-0.01996807659577179,,
CIBERSORTx_CBSX_melanoma,0.45999999999999996,0.4777777777777778,0.48484848484848486,,,0.38570689476533604,0.5416256569517439,0.578354686187167,,,-0.30052038200428266,0.31622776601683794,0.0,,
CIBERSORTx_CBSX_LM22,0.5025,0.5333333333333333,0.49242424242424243,0.6615384615384616,0.8888888888888888,0.4967561317393023,0.46462632275132276,0.5982952189995535,0.5625150574063618,0.9958810051402642,0.07504787743864563,-0.11952286093343938,0.1460766368670358,-0.036980013081681945,0.19245008972987526
