genes	453W	684C	CR3L	FLWA	FY2H	CYFZ	925L	9JD4	G4YW	4DUY	CZJE	36TS
DDX11L1	2.01926	1.05433	1.62892	1.86471	2.54756	3.01149	3.83105	7.43237	3.87109	5.86248	2.65111	6.94337
WASH7P	3.83599	2.34941	3.02095	2.78854	4.85206	2.62153	3.21687	0.343774	0.783651	0	2.78231	0.589092
RP11-34P13.7	0.35479698	1.84346	0.966647	1.592777	2.3524042	1.28623	1.58116	1.54767	0.920256	0.964836	1.525297	0.755531
CICP27	1.73958	1.64431	0.776288	1.45799	1.11892	1.91849	1.74994	1.29693	1.34241	0.802506	0.780274	1.66891
RP11-34P13.15	11.4624	15.4117	11.4555	18.9897	10.1614	10.1403	11.2946	13.1613	17.6235	11.2654	4.99367	22.5257
RP11-34P13.16	6.29612	13.5286	2.68275	10.8868	15.338	7.06324	12.1574	2.4716	13.1158	8.02697	0	12.1746
RP11-34P13.13	5.62784	15.47628	9.45454	4.75565315396	9.59484	10.73564	8.12192	3.46073	6.84867	4.52795	4.26767	6.44365
RP11-34P13.9	1.61677	4.1532	6.149	2.3099	4.80411	11.3783	12.1925	5.23468	9.10034	8.67782	3.7912	3.60485
RP11-34P13.18	12.6077	3.30102	7.2135	4.4619	4.91452	4.89662	6.95893	4.33412	10.1507	5.91134	7.61722	7.4372
AP006222.2	7.987533	4.691077	4.7324884094	3.12031	3.43625	5.216505	7.84885	2.0508033	5.245816	5.849043	7.888272	4.349745
RP4-669L17.10	20.967226747	24.4856635	18.918762	27.436692	47.111555	15.20754	21.59564814	10.410426	30.48363	35.173812	12.963718	25.771831
RP4-669L17.8	2.90262	1.93784	2.59483	1.96359	1.39788	1.83895	3.84007	2.16215	2.70138	0.0628517	0	3.20067
MTND1P23	5.06784	10.0945	16.5275	25.6133	885.237	33.7795	1575.3	9.0378	22.2567	37.1159	21.3378	20.3942
MTND2P28	65.9465	67.5731	122.659	64.5563	63.0441	96.2346	183.816	88.7896	90.6761	92.4145	89.9069	113.406
MTCO1P12	3.79168	2.20346	2.43163	2.4979	1.42835	2.91804	2.92416	4.32749	3.50662	3.85269	2.7348	4.99366
MTATP6P1	381.103	495.542	865.582	560.915	423.167	594.921	535.854	634.293	507.994	513.084	427.7	441.567
MTCO3P12	1.20733	1.51541	4.20777	2.88415	2.25343	171.13	1.57459	3.08938	119.607	1.96082	1.82765	2.0905
RP11-206L10.2	6.95654	7.41769	5.5563	4.51886	6.51697	4.06372	5.04693	5.23644	6.81162	5.45054	2.80496	7.55459
