Gene.symbol	cell_type
FLVCR2	Dendritic.cells.resting
FOSB	Eosinophils
FOXP3	T.cells.regulatory..Tregs.
FPR1	Neutrophils
FPR2	Neutrophils
FPR3	Dendritic.cells.resting
FRK	B.cells.naive
FRMD4A	Macrophages.M2
FRMD8	T.cells.regulatory..Tregs.
FZD2	Dendritic.cells.resting
FZD3	T.cells.follicular.helper
GAL3ST4	T.cells.CD4.naive
GALR1	T.cells.CD4.naive
GFI1	Mast.cells.resting
GGT5	Macrophages.M2
GIPR	Eosinophils
GNG7	Plasma.cells
GNLY	NK.cells.activated
GPC4	Macrophages.M0
GPR1	T.cells.regulatory..Tregs.
GPR171	T.cells.regulatory..Tregs.
GPR18	B.cells.naive
GPR183	Eosinophils
GPR19	T.cells.regulatory..Tregs.
GPR25	Plasma.cells
GPR65	Eosinophils
GPR97	Eosinophils
GRAP2	T.cells.CD4.naive
GSTT1	Dendritic.cells.resting
GUSBP11	Plasma.cells
GYPE	T.cells.regulatory..Tregs.
GZMA	NK.cells.activated
GZMB	NK.cells.activated
GZMH	NK.cells.resting
GZMK	T.cells.gamma.delta
GZMM	NK.cells.resting
HAL	Neutrophils
HCK	Macrophages.M1
HDC	Mast.cells.activated
HESX1	Macrophages.M1
HHEX	B.cells.naive
HIC1	T.cells.regulatory..Tregs.
HIST1H2AE	Plasma.cells
HIST1H2BG	Plasma.cells
HK3	Macrophages.M0
HLA-DOB	B.cells.naive
HLA-DQA1	Dendritic.cells.resting
HMGB3P30	T.cells.regulatory..Tregs.
HNMT	Macrophages.M2
HOXA1	Mast.cells.resting
HPGDS	Mast.cells.resting
HPSE	Monocytes
HRH1	Macrophages.M2
HSPA6	Neutrophils
HTR2B	Dendritic.cells.activated
ICA1	T.cells.follicular.helper
ICOS	T.cells.follicular.helper
IDO1	Macrophages.M1
IFI44L	Macrophages.M1
IFNA10	B.cells.memory
IFNG	T.cells.CD4.memory.activated
IGHD	Plasma.cells
IGHE	Plasma.cells
IGHM	Plasma.cells
IGKC	Plasma.cells
IGLL3P	Plasma.cells
IGSF6	Macrophages.M0
IL12B	Dendritic.cells.activated
IL12RB2	NK.cells.activated
IL17A	T.cells.CD4.memory.activated
IL18R1	Mast.cells.activated
IL18RAP	NK.cells.resting
IL1A	Mast.cells.activated
IL1B	Mast.cells.activated
IL1RL1	Mast.cells.activated
IL21	T.cells.follicular.helper
IL26	T.cells.CD4.memory.activated
IL2RA	T.cells.CD4.memory.activated
IL2RB	NK.cells.activated
IL3	T.cells.CD4.memory.activated
IL4	T.cells.CD4.memory.activated
IL4R	B.cells.naive
IL5	Mast.cells.activated
IL5RA	Eosinophils
IL7	B.cells.memory
IL7R	T.cells.CD4.naive
IL9	T.cells.CD4.memory.activated
IRF8	Macrophages.M1
ITK	T.cells.CD4.naive
KCNA3	Plasma.cells
KCNG2	Plasma.cells
KIAA0226L	B.cells.naive
KIAA0754	Macrophages.M1
KIR2DL1	NK.cells.activated
KIR2DL4	NK.cells.activated
KIR2DS4	NK.cells.activated
KIR3DL2	NK.cells.activated
KIRREL	T.cells.regulatory..Tregs.
KLRB1	NK.cells.resting
KLRC3	NK.cells.resting
KLRC4	T.cells.CD8
KLRD1	NK.cells.resting
KLRF1	NK.cells.resting
KLRG1	T.cells.gamma.delta
KLRK1	NK.cells.resting
KRT18P50	Eosinophils
KYNU	Dendritic.cells.activated
LAG3	Macrophages.M1
LAIR2	T.cells.regulatory..Tregs.
LAMP3	Dendritic.cells.activated
LAT	T.cells.follicular.helper
LCK	T.cells.follicular.helper
LEF1	T.cells.CD4.naive
LHCGR	B.cells.memory
LILRA2	Neutrophils
LILRA3	Macrophages.M1
LILRA4	T.cells.regulatory..Tregs.
LILRB2	Macrophages.M1
LIME1	T.cells.CD8
LINC00597	Mast.cells.activated
LINC00921	B.cells.naive
LOC100130100	Plasma.cells
LOC126987	T.cells.regulatory..Tregs.
LRMP	Eosinophils
LST1	Neutrophils
LTA	NK.cells.activated
LTB	T.cells.regulatory..Tregs.
LTC4S	Mast.cells.resting
LY86	B.cells.memory
LY9	T.cells.CD4.naive
MAGEA11	T.cells.gamma.delta
MAK	Neutrophils
MAN1A1	Plasma.cells
MANEA	Plasma.cells
MAP3K13	Dendritic.cells.activated
MAP4K1	T.cells.follicular.helper
MAP4K2	T.cells.CD4.naive
MAP9	T.cells.CD4.naive
MARCH3	Mast.cells.activated
MARCO	Macrophages.M0
MAST1	Plasma.cells
MBL2	T.cells.regulatory..Tregs.
MEFV	Neutrophils
MEP1A	B.cells.naive
MGAM	Neutrophils
MICAL3	B.cells.naive
MMP12	Dendritic.cells.resting
MMP25	Neutrophils
MMP9	Macrophages.M0
MNDA	Neutrophils
MROH7	Plasma.cells
MS4A1	B.cells.naive
MS4A2	Mast.cells.resting
MS4A3	Mast.cells.resting
MS4A6A	Macrophages.M2
MSC	Dendritic.cells.activated
MXD1	Neutrophils
MYB	Mast.cells.activated
MZB1	Plasma.cells
NAALADL1	NK.cells.resting
NCF2	Eosinophils
NCR3	NK.cells.activated
NFE2	Neutrophils
NIPSNAP3B	B.cells.naive
NKG7	NK.cells.activated
NLRP3	Monocytes
NMBR	B.cells.memory
NME8	Macrophages.M2
NOD2	Macrophages.M1
NOX3	Mast.cells.activated
NPAS1	T.cells.regulatory..Tregs.
NPIPB15	B.cells.memory
NPL	Macrophages.M2
NR4A3	Eosinophils
NTN3	T.cells.regulatory..Tregs.
NTRK1	Mast.cells.activated
ORC1	T.cells.CD4.memory.activated
OSM	Eosinophils
P2RX1	Mast.cells.resting
P2RX5	B.cells.naive
P2RY10	Eosinophils
P2RY13	Neutrophils
P2RY14	Eosinophils
P2RY2	Eosinophils
PADI4	Neutrophils
PAQR5	Mast.cells.resting
PASK	T.cells.follicular.helper
PAX7	Plasma.cells
PBXIP1	T.cells.CD4.memory.resting
PCDHA5	T.cells.regulatory..Tregs.
PDCD1	T.cells.follicular.helper
PDCD1LG2	Dendritic.cells.activated
PDE6C	Eosinophils
PDK1	Plasma.cells
PGLYRP1	Neutrophils
PIK3IP1	T.cells.CD8
PKD2L2	Eosinophils
PLA1A	Macrophages.M1
PLA2G7	Macrophages.M0
PLCH2	T.cells.regulatory..Tregs.
PLEKHF1	NK.cells.resting
PLEKHG3	Neutrophils
PMCH	T.cells.regulatory..Tregs.
PNOC	B.cells.memory
PPBP	Macrophages.M0
PPFIBP1	Dendritic.cells.resting
PRF1	NK.cells.activated
PRG2	Mast.cells.activated
PRR5L	NK.cells.activated
PSG2	B.cells.naive
PTGDR	NK.cells.activated
PTGER2	NK.cells.activated
PTGIR	Macrophages.M1
PTPRCAP	T.cells.follicular.helper
PTPRG	T.cells.regulatory..Tregs.
PVRIG	NK.cells.resting
QPCT	Neutrophils
RAB27B	Mast.cells.resting
RALGPS2	B.cells.naive
RASA3	T.cells.CD4.memory.resting
RASGRP2	B.cells.naive
RASGRP3	Plasma.cells
RASSF4	Macrophages.M1
RCAN3	T.cells.CD4.memory.resting
REN	Plasma.cells
RENBP	Macrophages.M2
REPS2	Neutrophils
RGS1	Eosinophils
RGS13	Mast.cells.activated
RNASE2	Eosinophils
RNASE6	Dendritic.cells.resting
RPL10L	T.cells.CD4.memory.resting
RPL3P7	T.cells.CD4.naive
RRP12	Eosinophils
RRP9	T.cells.CD4.memory.activated
RSAD2	Dendritic.cells.activated
RYR1	T.cells.regulatory..Tregs.
S100A12	Monocytes
S1PR5	NK.cells.resting
SAMSN1	Eosinophils
SCN9A	Dendritic.cells.resting
SEC31B	T.cells.regulatory..Tregs.
SELL	Neutrophils
SEPT5	T.cells.regulatory..Tregs.
SEPT8	Mast.cells.resting
SERGEF	T.cells.CD4.naive
SH2D1A	T.cells.follicular.helper
SIGLEC1	Macrophages.M1
SIK1	Plasma.cells
SIRPG	T.cells.follicular.helper
SIT1	T.cells.regulatory..Tregs.
SKA1	T.cells.CD4.memory.activated
SKAP1	T.cells.regulatory..Tregs.
SLAMF1	Macrophages.M1
SLAMF8	Dendritic.cells.resting
SLC12A1	B.cells.naive
SLC12A8	Mast.cells.activated
SLC15A3	Macrophages.M2
SLC2A6	Macrophages.M1
SLC7A10	T.cells.follicular.helper
SLCO5A1	Dendritic.cells.activated
SMPD3	Eosinophils
SMPDL3B	Eosinophils
SOCS1	Macrophages.M1
SP140	B.cells.memory
SPAG4	Plasma.cells
SPIB	B.cells.memory
SPOCK2	T.cells.regulatory..Tregs.
SSX1	T.cells.regulatory..Tregs.
ST3GAL6	Eosinophils
ST6GALNAC4	Plasma.cells
ST8SIA1	T.cells.follicular.helper
STAP1	B.cells.naive
STEAP4	Neutrophils
STXBP6	Mast.cells.resting
TARDBPP1	T.cells.gamma.delta
TBX21	NK.cells.resting
TCF7	T.cells.CD4.naive
TCL1A	B.cells.naive
TEC	Mast.cells.activated
TEP1	NK.cells.resting
TGM5	Plasma.cells
TLR2	Neutrophils
TLR7	Macrophages.M1
TLR8	Macrophages.M1
TMEM156	Plasma.cells
TMEM255A	Dendritic.cells.activated
TNFAIP6	Macrophages.M1
TNFRSF10C	Neutrophils
TNFRSF11A	T.cells.regulatory..Tregs.
TNFRSF13B	B.cells.memory
TNFRSF17	Plasma.cells
TNFRSF4	T.cells.regulatory..Tregs.
TNFSF14	NK.cells.activated
TNIP3	Macrophages.M1
TPSAB1	Mast.cells.activated
TRAC	T.cells.follicular.helper
TRAF4	B.cells.memory
TRAT1	T.cells.CD4.memory.resting
TRAV12-2	T.cells.CD8
TRAV13-1	T.cells.CD4.memory.resting
TRAV13-2	T.cells.CD4.memory.resting
TRAV21	T.cells.regulatory..Tregs.
TRAV8-6	T.cells.regulatory..Tregs.
TRAV9-2	T.cells.regulatory..Tregs.
TRBC1	T.cells.regulatory..Tregs.
TRDC	T.cells.gamma.delta
TREM1	Neutrophils
TREM2	Dendritic.cells.resting
TREML2	Neutrophils
TRIB2	T.cells.follicular.helper
TRPM4	Macrophages.M1
TRPM6	Eosinophils
TSHR	T.cells.follicular.helper
TTC38	NK.cells.resting
TXK	NK.cells.activated
TYR	T.cells.regulatory..Tregs.
UBASH3A	T.cells.CD4.naive
UGT1A8	B.cells.naive
UGT2B17	Plasma.cells
UPK3A	Monocytes
VILL	T.cells.CD4.naive
VNN1	Monocytes
VNN2	Neutrophils
VNN3	Neutrophils
VPREB3	B.cells.naive
WNT5B	Macrophages.M2
WNT7A	T.cells.CD4.naive
ZAP70	T.cells.follicular.helper
ZBP1	NK.cells.resting
ZBTB10	T.cells.follicular.helper
ZBTB32	Macrophages.M1
ZFP36L2	T.cells.CD4.memory.resting
ZNF135	NK.cells.resting
ZNF165	Eosinophils
ZNF204P	T.cells.CD4.naive
ZNF222	Eosinophils
ZNF286A	B.cells.naive
ZNF324	T.cells.CD4.naive
ZNF442	T.cells.gamma.delta
