gene	LAU125	LAU1255	LAU1314	LAU355
5S_rRNA	0	0	0	0
5S_rRNA.148	0	0	0	0
5S_rRNA.17	0	0	0	0
5S_rRNA.251	0	0	0	0
5S_rRNA.279	0	0	0	0
5S_rRNA.341	0	0	0	0
5S_rRNA.36	0	0	0	0
5S_rRNA.369	0	0	0	0
5S_rRNA.377	0	0	0	0
5S_rRNA.389	0	0	0	0
5S_rRNA.407	0	0	0	0
5S_rRNA.430	0	0	0	0
5S_rRNA.448	0	0	2.65	0
5S_rRNA.470	0	0	0	0
5S_rRNA.473	0	0	0	0
5S_rRNA.48	0	0	0	0
5S_rRNA.486	0	0	0	0
5S_rRNA.61	0	0	0	0
7SK.13	0	0	0.13	0.16
7SK.139	0	0	0	0
7SK.160	0	0	0	0
7SK.176	0	0	0	0
7SK.208	0	0	0	0
7SK.234	0	0	0	0
7SK.258	0	0	0	0
7SK.267	0	0	0	0
7SK.272	0	0	0	0
7SK.280	0.23	0.11	0.23	0.1
7SK.31	0	0.59	9.51	9.64
7SK.45	0	0	0	0
7SK.94	0	0	0.15	0
A1BG	0.82	0.81	0.71	0.58
A1CF	0	0	0	0.01
A2M	247.15	2307.94	20.3	24.88
A2M-AS1	1.38	2.6	0.28	0.2
A2ML1	0.03	0.05	0.02	0
A3GALT2	0	0	0	0
A4GALT	0.17	0.03	1.7	0.96
A4GNT	0.09	0.05	0.01	0
AAAS	20.9	14.09	19.17	15.68
AACS	10.14	3.08	5.39	3.87
AACSP1	0	0.05	0	0.01
AADAC	0	0	0	0
AADACL2	0	0	0.02	0.06
AADACL2-AS1	0	0	0.09	0
AADACL3	0	0	0.02	0.01
AADACL4	0	0	0	0
AADACP1	0.22	0.17	0	0
AADAT	5.69	0.88	0.08	0.14
AAED1	5.97	13.01	8.79	11.69
AAGAB	19.66	16.14	19.77	22.6
AAK1	3.29	3.33	3.36	4.49
AAMDC	18.72	35.1	5.84	4.13
AAMP	54.57	50.52	34.21	25.65
AANAT	0.05	0.04	0.16	0.36
AAR2	22.59	9.64	9.84	9.06
AARD	2.53	2.78	0.09	0.06
AARS	98.07	40.08	28.6	20.45
AARS2	7.74	3.92	4.14	4.4
AARSP1	0	0	0.14	0.12
AASDH	14.23	5.91	10.93	10.47
AASDHPPT	51.82	69.44	32.44	24.05
AASS	23.91	6.13	3	2.45
AATBC	0.47	0.19	0.03	0.12
AATF	50.23	40.36	55.94	49.54
AATK	0.24	0.22	0.01	0.11
AATK-AS1	0	0	0	0
AB015752.1	0	0	0	0
AB015752.3	0	0	0	0
AB019437.11	0	0	0	0
AB019437.30	0	0	0	0
AB019438.18	0	0	0	0
AB019438.19	0	0	0	0
AB019438.20	0	0.09	0.22	0.47
AB019438.66	0	0	0	0
AB019439.11	0	0	0	0
AB019439.12	0	0.01	0.3	0.05
AB019439.23	0	0.09	0	0.98
AB019439.32	0	0	0	0
AB019439.5	1.72	671.48	216.83	129.16
AB019440.1	2.01	196.77	379.24	224.87
AB019440.12	0	0	0	0
AB019440.19	0	0.06	0.12	0.05
AB019440.22	0	0	0	0
AB019440.24	0	0	0	1.17
AB019440.30	0	0	0	0.03
AB019440.4	0	7.16	78.67	29.57
AB019440.5	0.07	155.38	129.91	70.09
AB019441.12	0.99	85.83	66.7	67.13
AB019441.29	0	0	0.05	0.04
ABAT	3.1	1.57	3.06	4.2
ABC12-47043100G14.2	0	0	0	0
ABCA1	8.53	5.71	4.46	7.58
ABCA10	1.25	0.09	0.21	0.28
ABCA11P	0.06	0	0.25	0.24
ABCA12	0.17	0.01	0.01	0.02
ABCA13	1.44	0.08	0.19	0.04
ABCA17P	0.42	0.16	0.14	0.01
ABCA2	3.17	5.76	4.45	5.74
ABCA3	1.84	3.87	0.71	0.71
ABCA4	0	0.02	0	0
ABCA5	5.8	2.23	1.88	1.89
ABCA6	6.63	0.23	1.6	1.42
ABCA7	1.24	4.31	7.83	13.2
ABCA8	31.5	9.68	0.16	0.01
ABCA9	6.57	2.39	0.23	0.4
ABCA9-AS1	0.11	0	0	0
ABCB1	0.31	3.15	9.04	6.44
ABCB10	9.03	4.77	11.33	13.37
ABCB11	0.02	0.02	0.05	0.01
ABCB4	0.61	5.4	32.19	24
ABCB5	32.22	133.6	0.19	0.13
ABCB6	16.66	14.44	2.43	1.58
ABCB7	21.38	10.83	19.92	21.58
ABCB8	6.59	4.26	4.23	4.75
ABCB9	1.71	1.37	0.28	0.26
ABCC1	7.68	7.35	19.52	19.34
ABCC10	9.17	11.74	17.92	20.89
ABCC11	0.21	3.45	0	0.01
ABCC12	0	0.13	0.01	0.01
ABCC13	0	0	0	0
ABCC2	5.28	6.11	0.59	0.5
ABCC3	0.32	1.32	0.73	1.47
