Gene	ERR2228756.fastq.gz	ERR2228757.fastq.gz	ERR2228758.fastq.gz	ERR2228759.fastq.gz	ERR2228760.fastq.gz	ERR2228761.fastq.gz	ERR2228762.fastq.gz	ERR2228763.fastq.gz	ERR2228764.fastq.gz	ERR2228765.fastq.gz	ERR2228766.fastq.gz	ERR2228767.fastq.gz
A1BG	0.61	3.5	0.28	2.03	4.95	0.95	5.17	9.13	3.8	1.71	0.13	0
A1CF	0	0	0	0	0	0	0	0	0	0	0	0
A2M	0.73	1.38	0	0.88	0	3.88	0	0	4.01	0	0	6.56
A2M-AS1	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1	0	0	0	0	0	0	0	0	0	0	0	0
A2MP1	0	3.78	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	0	0	0	0	0	0	0	0	0	0	0.45	0
A4GNT	0	0	0	1.02	0	0	0	0	0	0	0	0
AAAS	1.18	0	2.09	1.69	3.26	0.12	2.89	0	1.82	2.29	0.82	0
AACS	0	0	0	0.14	0	0.43	0	0	0.42	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0	0	0	0	0	0	0	0	0	0	0	0
AAGAB	0	0.26	0	0	0	0.65	0	0	9.08	2.99	2.32	3.14
AAK1	0	0	2.05	6.54	2.62	0.22	4.84	0.16	4.35	1.8	5.21	1.37
AAMDC	0	0	0	5.04	1.46	3.3	6.78	0	0	12.02	0.79	0
AAMP	1.27	1.3	3.43	6.67	3.18	1.33	0	0	0	0.49	0	2
AANAT	2.83	1.47	0.33	0	0.9	0.31	0	0	0.39	0	0.45	2
AAR2	0	0	0	0	0.2	0	0	0	0	1.72	0	0
AARS1	0	0.47	0	0	0	0.2	0	0	0	0	0	0
AARS2	0	0	0	0	0	0	0	0	0	0.7	0	0
AARSD1	2.99	0	0	1.97	0	0	0	0	0	0	0	0
AASDH	0.52	0	0	0	0	0	0	0	0	0.42	0.46	0
AASDHPPT	0	0	0	0	0	0	0	0	0.09	0	0	0
AASS	0	0	0	0	0	0	0	0	0.11	0	0	0
AATF	0	3.21	0.47	0	2.67	0.67	0	0.96	1.08	2.41	0.53	1.18
AATK	0.49	0.43	0.16	0.41	0.19	0.19	0	0.92	0.71	0.28	0.16	0.06
ABAT	0.2	0	0	0	2.74	0.36	0	0	0	0	0.09	0
ABCA1	1.14	0	0.39	0.1	0	0.52	0	0	0.18	0.68	0.74	0.16
ABCA10	0	0	0	0	0	0	0	0	0	0	0	0
ABCA11P	0	0	0	0	0	0	0	0	0	0	0	0
ABCA12	0	0	0	0	0	0	0	0.41	0	0	0	0
ABCA13	0.11	0	0	0.17	0	0.14	0	0	0.17	0	0	0
ABCA2	0	0	0	0.26	0.04	0	0	0	0.24	4.33	0.22	0
ABCA3	0.19	0	0	0	0	0	0	0	0	0	0	0
ABCA4	0	0	0	0	0	0	0	0	0	0	0	0
ABCA5	0	0	0	3.44	0	0	0	0	0	0	0	0
ABCA6	0	0	0	0	0	1.35	0	1.36	0	0.04	0	0
ABCA7	0.04	0	0	0.05	0	0.03	0	0	2.86	0	0	0
ABCA8	0	0	0	0	0	0	0	0.33	0	0	0	0
ABCA9	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10	0	0	0	0	0	0	0	0	0	0	0	0
ABCB11	0	0	0	0	0.04	0	0	0	0	0	0	0
ABCB4	0	0	0	0	0	0	0	0	0	0	0	0
ABCB6	0	0.36	3.53	0	1.15	0	0	0	0	0	0	0
ABCB7	0	0	0	0.09	0	0	0	0	0.06	0.87	0	0
ABCB8	0	0	0	2.15	1.28	0	0.87	0	1.63	2.1	0.86	0.55
ABCB9	5.07	3.6	6.39	7.57	6.32	4.57	4.84	4.85	4.43	9.68	3.95	5.54
ABCC1	1.63	1.81	1.28	0.71	1.74	0.36	2.77	0	0.51	2.86	1.06	0.23
ABCC10	3.91	0.4	0	1.07	0.65	0	0	0.72	0	0	0	0
ABCC11	3.8	0.45	3.59	6.03	3.96	2.14	2.7	2.69	0.95	2.8	1.08	3.6
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	0	0	0	0	0	0	0	0	0	0	0	0
ABCC2	0	0	0	0	0	0.43	0	0	0	0	0	0
ABCC3	0	0.4	0.21	0.13	1.06	0.3	0	0.25	0	0	0	0
ABCC4	0	0	0	0	0.05	0	0	0	0	0	0	0
ABCC5	0.3	0	0	0	0	0	0	0	0	0	0	0
ABCC6	0.51	0	0	0.32	0.16	0.4	0	0	1.15	0.11	0	0.73
ABCC8	0	0	0	0	0	0	0	0	0	0	0	0
ABCC9	0.09	0	0	0	0.03	0	0	0	0	0	0	0
ABCD1	0	0	0	0	1.25	0.12	0	0	0	0.5	0.12	0
ABCD2	0	0	0	0	0	0	0	0	0	0	0	0
ABCD3	0	0.38	0	0	0	0.26	0	0	0	0	0	0
ABCD4	0	0	0	1.19	0	0	9.39	0	0	2.04	0.28	0
ABCE1	0	0	0.74	0	0.22	0.54	0	0	0	0	0	0
ABCF1	0	0.8	0	0	5.66	0.64	4.58	3.42	3.2	1.27	0	5.94
ABCF2	0	0	0	0	0	0	0	0	0	0	0	0
ABCF3	11.25	0	1.22	2.52	0	0.62	0	0	0	1.54	0	0
ABCG1	0.25	0.75	0	0	0	0.08	0	0	0.43	1.82	0.07	0.91
ABCG2	0	0	0	0	0	0	0	0	0	0	0	0
ABCG4	0	0	0	0	0	0	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8	0.27	0	0	0.7	0	0	0	0	0	0.13	0	0.47
ABHD1	0	0	1.83	1.83	16.09	1.02	12.47	0	16.34	1.49	2.75	16.02
ABHD10	0	0.21	0	0	0	0	0	0	0	0	0	0
ABHD11	5.29	0	0	3.85	0	0.65	0	0	0	1.93	0	0
ABHD11-AS1	0	0	1.6	0	0.99	0	13.19	0	0	0	0	1.14
ABHD12	0.89	0	0	0	0	3.73	0	0	3.61	1.95	0.59	3.17
ABHD12B	0.26	0	0.97	2.87	0.6	2.84	0	0	0.17	5.45	0	0
ABHD13	0	0	0	0	0.05	0	0	0	0	0	0	0
ABHD14A	0	11.96	2.9	0.96	1.92	0	0	0	6.89	7.5	3.62	0
ABHD14B	0.5	1.37	0.4	2.68	1.43	0.51	0	1.23	1.37	0.77	0	0
ABHD15	0.35	0	0	0	0.16	0.19	1.05	0	0	1.49	0.62	0
ABHD16A	0.29	1.37	1.01	0	2.91	7.09	0	1.54	11.43	7.32	1.18	0
ABHD16B	3.05	2.06	9.43	14.77	16.18	1.41	6.31	2.68	5.56	3.39	0.74	2.36
ABHD17A	2.64	1.8	3.3	1.24	1.42	1.08	0	2.66	1.41	1.69	0.04	0
ABHD17B	0	0	0	0	0	0	0	0	0.19	0	0	0
ABHD17C	0	0	0	0	0	0	0	0	0	0	0	0
ABHD18	2.09	0.13	0	0.17	2.26	0.04	0	0	0	0	2.18	0
ABHD2	1.35	2.18	2.11	4.47	3.13	2.42	0.57	0.45	1.31	6.91	3.69	2.64
ABHD3	0	0	0	4.78	0.16	0.11	0	0	0	0	0	0
ABHD4	0	0.32	0	0	0	0.07	0	7.67	0.29	0	0	0
ABHD5	0	0	0	0	1.54	0	0	0	0.11	0	0	0
ABHD6	0	0	5.58	0	0	0	0	0	0	0	0	0
ABHD8	0.12	0	0	0	0.57	0	0	0	0	0.15	1.29	0
ABI1	0	0	2.11	0.65	0.43	1.08	3.25	0	0	0.65	0	0.42
ABI2	0.37	0.75	0.51	5.41	0.97	1.64	0.98	0	0.25	0.68	0.19	0.88
ABI3	0.3	0	2.67	3.39	0	7.79	0	0.29	0	6.02	0.51	0
ABI3BP	1.76	0	1.27	0.63	1.24	0.33	1.02	0	0	1.83	0.29	1.15
ABITRAM	0	0	0	0	0.31	0	0	0	0	0	0	0
ABL1	0	0.29	0.1	0.06	0.73	0.14	0	0.35	0.09	0	0.27	0.55
ABL2	0.31	0	0	0	0.05	0	0	0	0	0	0.05	0
ABLIM1	0	0	0	0	0	0	0	0	0	0	0	0
ABLIM2	0	0	0	0	0	0	0	0	0	0	0	0
ABLIM3	0	0	0	0	0	0	0	0	0	0	0	0
ABO	0	0	0	0	0	0	0	0	0	0	0	0
ABR	0.5	2.41	0.45	6.39	5.32	2.21	0	0.15	4.24	2.67	0	0
ABRA	0	0.3	0	0	0.1	0.08	0	0	0	0	0	0
ABRACL	4.07	0	2.98	0	0	0.63	0	0	0	3.39	0.6	0
ABRAXAS1	1.65	0.32	2.11	0.26	1.22	1.96	1	0	5.16	0.14	0.24	0.16
ABRAXAS2	0.75	0	0.65	1.33	1.07	0	1.86	0	0	1.14	0	0.93
ABT1	0.17	0	0	0	0	0	0	0	1.75	0	0.22	0
ABTB1	2.25	0.54	0	2.83	0.87	1.49	1.86	2.58	0	0.94	0	0
ABTB2	0	0.22	0	0	0	0	0	0	0	0	0	0
ACAA1	1.15	1.56	1.5	0	0.66	1.4	3	0.6	0	0	0	0
ACAA2	0	0	0	0	0	0	0	0	0	0	0	0
ACACA	0	0	0	0	0.43	0	0.46	0	0	0.46	0	0
ACACB	0.1	0.82	0	0	0.78	0	0	0	0	0	0	0
ACAD10	1.14	1.81	0	0	0	0.24	0	0	0	0	0	0.13
ACAD11	0.91	1.6	0.63	0	0	0	1.19	1.8	0	0	0.2	0
ACAD8	0	0	0	0	1.89	2.71	0	0	0.11	0	0	0
ACAD9	0	1.9	4.65	0	0.15	0	0	0	0	0	0	0
ACADL	0	0	0	0	0	0	0	0	0	0	0	0
ACADM	0	0	0	0	0	0	0	0	0	0	0.28	0
ACADS	0	0	5.85	0	1.25	1.46	0	0	0	0	0	0
ACADSB	0	0	0	0	0	0	0	0	0	0	0	0
ACADVL	3.71	19.82	1.98	23.21	3.66	3.53	11.78	13.18	4.7	5.83	3.45	6.67
ACAN	3.55	0	0	0	0	0	0	0.32	0	0.59	0	0
ACAP1	4.08	0	0	0	3.32	3.86	1.71	0	0	1.37	0	1.14
ACAP2	1.07	1.35	1.9	7.03	3.31	0.74	8.42	1.37	3.03	9.79	0.5	0
ACAP3	0.77	2.3	0	0	0	0.12	0	0	2.07	0	0	0
ACAT1	0	0	0	0	0	0.7	0	1.45	0	0	0	0.26
ACAT2	0.5	0.51	3.08	5.55	4.46	1.61	0	5.58	0.5	2.28	0.72	1.39
ACBD3	0	0.15	0	0	0.72	0.25	0	0	0	1.11	0.84	0.1
ACBD4	1.12	0	0	0	0	0	0	1.26	0.75	0	0	4.77
ACBD5	0.15	0	0	2.07	1.79	0	0	6.07	3.04	0.32	0.38	2.12
ACBD6	0	0	0	0	0	0	0	0	0	0.49	0.69	0
ACCS	0	0	1.44	0	0	0	0	0	0	0	0	0
ACD	1.36	1.75	1.3	0	0.57	1.01	0	0	0	0	0.21	0
ACE	0	0	0	0	0	0	0	0	0	0	0	0
ACE2	0	0	0	0.39	0.93	0	0	0	0	0.25	0.23	0
ACER1	0	0	0	0	0	0	0	0	0	0	0	0
ACER3	0	0	0.03	0	0.58	0	0	0	0	0.21	0	0
ACHE	0	0	0	0	0	0	0	0	0	0.91	0	0
ACIN1	1.74	0.5	0.4	3.47	2.85	1.73	0	4.73	3.95	2.71	2.69	1.1
ACKR1	0	0	0	0	0	0	0	0	0	0	0	0
ACKR2	0.09	0	0	0	0	0	0	0	5.01	0.21	0	0
ACKR3	0	0	0	0	0	0	0	0	0	0	0.66	0
ACKR4	1.61	0	0	0	1.5	0	0	0	0	0	0	0
ACLY	0	1.18	0	5.49	2.53	2.06	1.92	0	0.62	1.42	0.05	0
ACMSD	0.26	0	0	0	0	0	0	0	2.03	0	0	0
ACO1	0.49	1.23	0	0	0.53	0.06	0	0	0	0	0	0.18
ACO2	10.72	0.5	2.06	0.39	2.1	2.68	0.45	10.53	5.23	0.56	0.08	0.38
ACOT11	0	0	0	0.66	0	0	0.19	0	2.17	0.24	0.13	0
ACOT12	0	0	0	0	0	0	0	0	0	0	0	0
ACOT13	4.44	7.39	5.48	3.07	4.72	5.74	7.21	1.44	10.72	2.6	4.5	14.03
ACOT2	0.14	0	2.15	0	0	0	0	0	0	1.79	0.43	1.57
ACOT4	0	0	0	0	0	0	0	0	0	0	0	0
ACOT7	0	0.23	1	0	0.12	0.28	0	0	2.94	0.89	0.09	1.56
ACOT8	2.01	3.89	0.63	3.92	6.54	2.59	11.24	0	2.32	4.82	1.45	0.3
ACOT9	0	2.55	0.06	0	0	1.1	0.37	0	0	0.19	0	0
ACOX1	0	0.26	0	0	0.04	0.21	0.5	0	0	2.25	0	0
ACOX2	0	0	0	0	0	0	0	0	2.47	0	0	0
ACOX3	0	0	0	0	0.85	0.48	0	0	0	0	0	0
ACOXL	0	0	0.2	0	0.24	0	0	0	0	0	0	0
ACP1	0	0	0	0	1	0	0	0	0	0	0	0
ACP2	0.87	0.93	0	0.51	2.15	0.32	0	0	0	0	1.18	0
ACP3	0.28	0	0	0	0	0	0.38	0	0	0	0.14	0
ACP4	0	0	0	0	0	0	0	0	0	0	0	0
ACP5	5.28	0	0	0	0	0	0	0	0	0.59	2.17	0
ACP6	0	0	0	0	0	0	0	0	0	0	0	0
ACR	0	0	0	0	0	0	0	0	0	0	0	0
ACRBP	0.49	1.05	0	0	0	0	0	0	0.24	0	0	0
ACRV1	0	0	0	0	0.26	0	0	0	0	0	0	0
ACSBG1	2.38	1.69	5.73	6.3	4.46	3.91	6.5	1.55	2.06	3.56	4.64	3.64
ACSBG2	0	0	0	0	0	0	0	0	0	0	0	0
ACSF2	0	0	0	0	0	0	0	0	0	0	0	0
ACSF3	0.25	0	0	1.63	0	0.55	1.22	0	0	0	0	0
ACSL1	0.3	0	0	1.27	1.06	0.98	0	0.74	3.46	0.18	0.43	0
ACSL3	0	0	0	0	0.51	0	0	0	0	2.07	0	0
ACSL4	0	1	1.04	1.68	0	1.69	0	0	0	0	0	0
ACSL5	0.75	2.77	2.21	1.18	1.33	2.12	0	0	1.76	2.26	1.38	0
ACSL6	0.03	0	0.03	0.08	0.09	0	0	0	0.05	0	0.05	0.09
ACSM1	0	0	0	0	0	0	0	0	0	0	0	0
ACSM2A	0	0	0	0	0	0	0	0	0	0	0	0
ACSM3	0.54	0.87	1.05	0	3.3	1.17	0	0	0	0	0	0
ACSM5	0	0	0	0	0	0	0	0	0	0	0	0
ACSM6	0	0	0	0	0	0	0	0	0	0	0	0
ACSS1	0	0.99	0	0.1	0.16	0.09	0	0	0	0	0.39	0
ACSS2	0	0	2.12	1.92	2.12	0	0	0	0	3.15	0.71	0
ACSS3	0	0	0	0	0	0	0	0	0	0	0	0
ACTA1	0	0	0	0	0	0	0	0	0	0	0	0
ACTA2	2.63	0	9.05	0.27	0.66	0.62	0	10.02	0	0	0	0
ACTB	168.15	173.95	257.23	167.37	174.39	104	140.87	43.27	57.91	100.04	82.65	118.59
ACTC1	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1	13.83	30.11	26.67	22.29	36.83	20.93	51.76	11.16	22.74	34.95	17.85	11.83
ACTG1P25	0	1.07	0	0.16	0.6	0	0	0	1.7	0	0	0
ACTG2	0	0	0	0	0	0	0	0	0	0	0	0
ACTL10	0	0	0	0.92	0	0	0.39	0	0	0	0	0
ACTL6A	0	15.23	0	1.04	2.4	1.12	0	0	0	0	0.13	0
ACTL6B	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7A	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	0	0	0	0	0	0	0
ACTL8	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1	0.31	0.12	0.05	2.3	6.04	1.45	1.55	1.8	3.21	18.75	1.53	0
ACTN1-DT	0	0	0	0	0	0	0	0	0	0	0	0
ACTN2	0	0	0	0	0	0	0	0	0	0	0	0
ACTN3	0	0	0	0	0	0	0	0	0	0	0	0
ACTN4	0	2.6	0	0.34	11.1	2.71	0	0	2.37	1.41	0.58	0
ACTR10	0	0	0	0	0	0	0	0	0	0	0	0
ACTR1A	0	1.6	0	0.39	4.44	0.69	3.15	1.79	3.82	0	0	0.63
ACTR1B	0.68	0.69	0	0	0	0.21	0	3.53	0	0	0.39	0
ACTR2	1.18	0.79	5.54	2.91	3.94	3.27	14.52	0	1.2	0.22	1.4	1.53
ACTR3	0.32	8.67	2.09	0	0.86	3.51	11.22	6.2	0.49	6.1	0.04	1.36
ACTR3B	0	0	0	0	0.19	0	0	0	0	0	0	0
ACTR5	0	0	0	0	0	0	0	0	0	0	0	0
ACTR6	0	0	0	0	0	0.27	0	0	0	0	0.39	0
ACTR8	0.14	1.26	0	0	0	0	0	0	0	0.09	0	0
ACTRT1	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT3	0	0	0	0	0	0	0	0	0	0	0	0
ACVR1	0	0	0	0	0.14	0	0	1.95	0	0	0	0
ACVR1B	0	0	0	0.39	0.3	0.39	0	0	0	0.66	1.48	0
ACVR1C	0	0	0	0	0	0	0	0	0	0	0	0
ACVR2A	0	1.41	6.29	0.21	2	0.43	0	0	1.6	0.12	0	10.44
ACVR2B	0	0	0	0	0	0.02	0	0	0	0	0	0
ACVRL1	0	0	0	0.17	0	0.11	0	0	0	0	0	0
ACY1	0	0.94	0	0	0	1.03	0	0	0	4.44	0.33	1.81
ACY3	0	0	0	0	0	0	0	0	0	0	0	0
ACYP1	0	0	0	0	0	0	0	0	0	0	0	0
ACYP2	0.77	1.67	1.47	10.93	2.63	0	0.93	1.49	2.62	7.52	1.98	7.85
ADA	0	0	0.49	0	0	0	0	0	0.14	0	0	4.81
ADA2	0.16	4.19	8.62	1.6	0.9	5.66	1.75	0	0.39	0.16	0	0
ADAD1	0	0	0	0	0	0	0	0	0	0	0	0
ADAD2	0	0	0	0	0	0	0	0	0	0	0	0
ADAL	0	0	0	0	0	0	0	0	0	0	1.17	0
ADAM10	2.75	0.19	0.27	13.84	5.16	0.47	0	0.26	0.06	10.51	0.7	1.62
ADAM11	0	0	0	0	0	0	0	0	0	0	0	0
ADAM12	0	1.15	2.32	3.55	3.23	1.51	0	1.76	1.4	0.28	4.62	0.72
ADAM15	0	5.67	0	1.05	1.3	1.04	0	0	0	0.54	0.21	0
ADAM17	1.31	1.42	0.11	3.97	3.2	2.19	0	0.46	1.76	1.61	1.64	11.9
ADAM18	0	0	0	0	0	0	0	0	0	0	0	0
ADAM19	0	0.5	0	1.57	1.28	1.08	1.08	0	0	0.49	0	0
ADAM2	0	0	0	0	0	0	0	0	0	0	0	0
ADAM20	0	0	0	0	0	0	0	0	0	0	0	0
ADAM21	0	0	0	0	0	0	0	0	0	0	0	0
ADAM21P1	0	0	0	0	0	0	0	0	0	0	0	0
ADAM22	0.08	0.62	0.26	9.07	0.25	0.34	0	0	0.05	0.17	0.12	0.4
ADAM23	0	0	0	0	0	0	0	0	0	0	0	0
ADAM28	0	0.15	0	0	0.47	0.56	0	0	0	5.92	0	0
ADAM29	0	0	0	0	0	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	0	0	0	0	0
ADAM32	0	0	0	0	0	0	0	0.07	0	0	0	0
ADAM33	0	0	0	0	0	0	0	0	0	0	0	0
ADAM3A	0	0	0	0	0.26	0	0	0	0	0	0	0
ADAM3B	0	0	0	0	0	0	0	0	0	0	0	0
ADAM6	0	0	0	0	0	0	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0	0	0	0	0	0	0
ADAM8	5.98	0.27	3.12	2.96	1.46	0	0	0	0	0.8	0	5.65
ADAM9	0	0	0.06	0	0	0	0.81	0	0.52	0.3	0.4	0
ADAMDEC1	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS1	0	0	0	0.08	0	0	0	0	0	0	0	0
ADAMTS10	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS12	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS13	0	0	0	2.09	0	0.08	0	0	0.48	0.51	1.54	1.67
ADAMTS14	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS15	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS16	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS17	0	0	0	0	0	0	0	0	0.19	0	0	0
ADAMTS18	0	0	0	0	0	1.52	0	0	0	0	0	0
ADAMTS19	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS2	0.15	0	0	0	0	0	1.82	0	0	0	0	0
ADAMTS20	0	0.04	0	0	0	0	0	0	0	0	0	0
ADAMTS3	0	0	0	0	0	0	0.29	0	0	0	0	0
