gene	Hugo_Cell_2016-Pt1	Hugo_Cell_2016-Pt2	Hugo_Cell_2016-Pt4	Hugo_Cell_2016-Pt5	Hugo_Cell_2016-Pt6	Hugo_Cell_2016-Pt7	Hugo_Cell_2016-Pt8	Hugo_Cell_2016-Pt9	Hugo_Cell_2016-Pt10	Hugo_Cell_2016-Pt12	Hugo_Cell_2016-Pt13	Hugo_Cell_2016-Pt14	Hugo_Cell_2016-Pt15	Hugo_Cell_2016-Pt19	Hugo_Cell_2016-Pt20	Hugo_Cell_2016-Pt22	Hugo_Cell_2016-Pt23	Hugo_Cell_2016-Pt25	Hugo_Cell_2016-Pt27A	Hugo_Cell_2016-Pt27B	Hugo_Cell_2016-Pt28	Hugo_Cell_2016-Pt29	Hugo_Cell_2016-Pt31	Hugo_Cell_2016-Pt32	Hugo_Cell_2016-Pt35	Hugo_Cell_2016-Pt37	Hugo_Cell_2016-Pt38
A1BG	8.02538	317.594	5.747295	6.85957	1.563465	21.56585	11.37055	8.15681	4.34675	6.508715	7.2914	5.73269	32.17475	20.1598	15.92405	3.702405	12.2101	40.40895	6.09381	7.191755	8.595985	5.46034	14.7886	17.3772	11.6442	15.0003	4.47517
A1CF	0	18.1094	0	0	0.011276185	0	0.00326287	0.001398225	0	0	0	0.004363645	0.001736245	0	0.00270216	0	0.00157014	0	0	0.001767905	0.188226	0.00951861	0	0	0	0	0
A2M	185.304	455.16	81.0082	41.41065	136.1635	44.66935	119.0175	232.675	501.697	530.2375	661.1375	46.72625	189.7185	77.16515	110.73	196.716	239.522	300.813	390.2995	364.5135	67.1145	557.9915	50.436	121.544	55.7139	39.6673	495.157
A2ML1	0.01413385	0.01269185	0.0225053	0.00383668	0	0.01084	0.044663	0.4475855	0.03080075	0.00737025	0	0	0.005575	0	0.07251395	0.0469472	0.011323095	0.00993835	0.05038495	0.0118671	182.201	0.0100677	0	0	0	0	0
A2MP1	0.0687224	0.0248548	0.03377065	0	0.0138759	0.03927745	0.06586915	0.2766185	0.05614755	0.0184054	0.02857025	0.0645812	0.0174198	0	0.0239281	0.15459585	0.08789955	0.02230635	0.01199355	0.04060965	0.23039	0.05203525	0.0666558	0	0	0	0.0550511
A3GALT2	0	0.036931	0.01949205	0	0	0	0	0.07771645	0.1780404	0.0596672	0.1230115	0.08488155	0	0	0	0.01895765	0	0	0.05686355	0.4064805	0.060645	0.088457	0.180124	0.19853	0	0	0.133616
A4GALT	6.55749	0.472773	0.610117	0.6240955	0.9918185	1.531155	6.753445	4.764565	26.19965	2.187715	8.535705	4.688435	1.81222	9.690095	2.658665	6.85203	5.526085	3.70974	1.914785	1.0201875	6.542465	1.842925	9.89099	34.6603	1.72032	1.17119	7.69154
A4GNT	0.0249235	0.10747675	0.010961	0	0	0.0125048	0	0.0516466	0.0250319	0.2488705	0.333757	0.1132795	0.088133	0	0.0177611	0.06313515	0.0422213	0	0	0.0206447	0	0.0124039	0	0	0	0	0
AAAS	20.3992	18.53875	20.366	24.40895	14.9076	17.60665	24.4953	18.8917	20.0471	15.25125	13.2086	31.8928	21.75415	60.2925	18.25745	17.48755	17.52035	47.6575	24.7249	18.25955	19.93155	15.4149	27.4486	28.6965	17.3147	27.6339	23.1738
AACS	3.13403	2.836915	2.151635	9.04469	6.75243	7.52096	7.44295	5.52544	9.11698	20.93695	3.546865	6.02104	4.203245	13.54455	3.79892	5.98777	8.25182	3.019315	7.728425	6.37584	20.2489	5.244185	8.36164	5.50574	5.4033	1.94968	6.89987
