NAME	cell_type
A2M.AS1	NKT.cells
AAK1	T.cells.CD4
ABCA1	Monocytes
ABCA2	NK.cells
ABCA3	NK.cells
ABCB1	NK.cells
ABCB4	B.cells
ABCD2	T.cells.CD8
ABCG1	NK.cells
ABHD15	NK.cells
ABHD17C	NKT.cells
ABHD8	NK.cells
AC002331.1	T.cells.CD8
AC002467.7	NK.cells
AC004069.2	B.cells
AC004463.6	NK.cells
AC004840.9	T.cells.CD8
AC004893.11	NKT.cells
AC005003.1	NK.cells
AC006116.20	NKT.cells
AC006369.2	NK.cells
AC009120.6	NKT.cells
AC009961.3	T.cells.CD8
AC010226.4	B.cells
AC011718.2	T.cells.CD8
AC013264.2	T.cells.CD4
AC016757.3	NKT.cells
AC017002.1	NKT.cells
AC018816.3	T.cells.CD4
AC020571.3	T.cells.CD4
AC021860.1	T.cells.CD4
AC023590.1	B.cells
AC068620.1	T.cells.CD8
AC074138.3	B.cells
AC079210.1	B.cells
AC079767.4	B.cells
AC090186.1	NKT.cells
AC092295.7	T.cells.CD8
AC092580.4	NKT.cells
AC092669.3	T.cells.CD4
AC093388.3	T.cells.CD4
AC093391.2	B.cells
AC104699.1	B.cells
AC104820.2	T.cells.CD8
AC105760.2	T.cells.CD8
AC108004.3	NK.cells
AC109826.1	NKT.cells
AC113189.5	NKT.cells
AC115618.1	B.cells
AC131056.3	NK.cells
AC140481.2	NKT.cells
AC142528.1	B.cells
AC147651.3	Monocytes
AC159540.1	NK.cells
ACAT2	NKT.cells
ACBD4	B.cells
ACPP	Monocytes
ACRBP	Monocytes
ACSBG1	NK.cells
ACSL1	Monocytes
ACSL6	T.cells.CD4
ACSM3	T.cells.CD4
ACTL10	T.cells.CD8
ACTN1	Monocytes
ACVR1B	Monocytes
ACVR1C	T.cells.CD4
ACVR2A	T.cells.CD4
ADA	NK.cells
ADAM19	B.cells
ADAM22	NKT.cells
ADAM23	T.cells.CD4
ADAM28	B.cells
ADAM9	Monocytes
ADAMTS1	NK.cells
ADAMTS10	NK.cells
ADAMTS17	T.cells.CD4
ADAMTSL4	Monocytes
ADAP2	Monocytes
ADARB1	B.cells
ADAT1	T.cells.CD8
ADCK2	NK.cells
ADCK3	NK.cells
ADCK5	B.cells
ADHFE1	T.cells.CD8
ADK	B.cells
