Gene	Cancer.cells	B.cells	Macrophages.M1	Macrophages.M2	Monocytes	Neutrophils	NK.cells	T.cells.CD4	T.cells.CD8	Tregs	Dendritic.cells
ABCB4	0.09	19.671105	2.11686237	1.765413	0.0938802	0	0.204390502	0.03760735	0.09447115	0.0427902	1.8566835
ADAM28	0.27	118.42823	41.4282739133	4.713226	5.5007815	6.558537	13.855589	0.07606595	0.06880975	0.7076098	16.4430685
AFF3	0.22	64.416120486943	0.8732878	1.306145	2.6197584401	1.71331835	4.5898785	2.953245410485	1.4725899	1.724516	8.06765345
AKAP2	23.225	78.3663002984294	14.6370000040351	2.2200425747	0.196134105	0	5.94547307804033	5.27678002984185	1.10040112450173	14.6837	2.87444501919683
ARHGAP24	2.435	41.5677900025331	9.73864	2.26275900916946	15.813176	2.94585	0.045216925	0.00953445	0	0.196845	2.04847353561285
BANK1	0.495	260.8902	3.6787	6.58518	2.1993545	0.04406385	0.998298175758	0.045667	0.137294	0.063765	3.579399
BCL11A	0.44	136.4217555	1.8703343	7.6366182833	19.475808155	1.6528451521	0.28698215	0.2947797061367	0.26556975	0.149237	21.5385115
BLK	0.06	454.740018	0.885549	0.676159	0.1430335	0.10733235	0.41175635	3.6181855	10.16218	2.242964	0.1223891
BLNK	0.1	146.8944055	2.43971900199726	56.4441630053631	1.38622638085	0.0467154	0.189371	0.03583625	0.0459501	0.143605	7.305256
CD19	0.05	370.0902	0.95658	0.860258	0.303029	0.09761445	0.3119295	0.13131235	0.278178	2.28519	0.8154695
CD200	0.12	46.81347883	0	1.269735	0	0.63142209	0.02299432	2.31314	0.3209918	5.9068267	0.121158035
CD72	0.375	219.002265	11.13486	4.5279556	3.06032	0.14333	35.386225	2.29149528	7.339882495	8.253946	8.745235390125
EBF1	0.08	29.3937605	0.0536632	0.123902	0.02333	0.02453895	0.05069125	0.0752227	0.08220325	0.228715301231229	0.0146456
FCMR	0.915	480.22065	4.09593	1.35249	0.3473735	10.428445	139.9111	213.69335	147.7345	118.9752	3.537875
