gene	p.value	cor
CCR5	0	0.6438249518906676
FTH1P22	0	0.6425987917543836
TIGIT	0	0.634634711749542
FASLG	0	0.6273029081702549
GZMK	0	0.6226462474454483
CRTAM	0	0.6142763529422031
SIRPG	0	0.5883950663882069
SLAMF8	0	0.568758849221414
PDCD1	0	0.5678876579801754
CXCR6	0	0.5643864489646623
CXCR3	0	0.5638662586834513
IL12RB1	0	0.5628278798921901
CALHM6	0	0.5473791980760663
ICOS	0	0.5418956580296523
HLA-DQA1	0	0.5390504018999369
IL10RA	0	0.5334010185995639
LAG3	0	0.5256257559043545
SLAMF6	0	0.5191531569284115
CD74	0	0.5144619432895114
PRF1	0	0.513981512636921
CCL5	0	0.51179288824734
P2RY10	0	0.5043352580632924
CXCL9	0	0.5043111149931965
HLA-DRA	0	0.5035697763263891
NKG7	0	0.5031835131261516
HLA-DPA1	0	0.49942040595149345
IL21R	0	0.4964749548467084
IFNG	0	0.49380425021749813
TRAV12-2	0	0.48961538152996803
HLA-DPB1	0	0.48960303862177923
APOBEC3G	0	0.4880037931722676
CD86	0	0.48018909572507606
GZMH	0	0.47815294061488917
CXCR2P1	0	0.47589222488470606
TRAV5	0	0.4755932657380225
TAF5LP1	0	0.4749423238399071
FOXP3	0	0.470780323775196
APOBEC3H	0	0.4685028063705863
HLA-DRB1	0	0.46711246253251654
RELB	0	0.4663552380007691
ZNF80	0	0.46427754357934686
HLA-DOA	0	0.46193338308153753
IRF1	0	0.45931437632812233
APOBEC3D	0	0.4582493795385734
IL2RB	0	0.45806487270852714
CD48	0	0.45406160925220335
CCL3-AS1	0	0.4536537443687243
PYHIN1	0	0.45008058701043563
SLAMF7	0	0.44898706741267846
CD80	0	0.448675430369824
GIMAP4	0	0.4471095449118519
LILRB4	0	0.44600489589719666
ZNF831	0	0.4424746580608073
GNGT2	0	0.44123161423699797
GBP4	0	0.43997211918715873
LINC01281	0	0.43972960277594403
TRAV12-1	0	0.4375350862308738
APOL3	0	0.43739349935313226
IL18BP	0	0.43731338955745147
FPR3	0	0.43701121840671453
SP140	0	0.43407846031630426
HLA-DQB1	0	0.4335760576397578
BTN3A1	0	0.4320610287907859
WIPF1	0	0.4305718393175412
GPR65	0	0.4305233073982142
TRAV9-2	0	0.43020188198016024
CD53	0	0.42944813827196476
CD28	0	0.42867823083957046
TNFRSF1B	0	0.4282634552884633
XCL2	0	0.42653721294129904
SNX20	0	0.42557164325909197
LAP3	0	0.42397336075659764
CCR4	0	0.4234257872202542
CD200R1	0	0.4233628950841211
STAT1	0	0.42130869899032575
GZMA	0	0.4210643309028654
CD27	0	0.421047137718915
HLA-B	0	0.41867110763135756
SAMD3	0	0.41857278329394043
LAPTM5	0	0.41771157118668245
CD6	0	0.41695872589304717
IKZF3	0	0.4166111762614981
B2M	0	0.41658863326364676
LAX1	0	0.41624700718654273
TRAV8-6	0	0.41589200866789355
CD40	0	0.41566384135072343
BTN3A2	0	0.41486743050606606
LINC02528	0	0.41248971772687115
