	IP-08	IP-108b	IP-115b	IP-124b	IP-127	IP-138b	IP-140b	IP-148	IP-197	IP-214	IP-28	IP-31b	IP-36	IP-38b	IP-46	IP-52	IP-57	IP-58b	IP-60	IP-67b	IP-73	IP-82b	IP-89b	IP-99
A1BG	4.44	1.32	0.15	1.62	1.68	0.18	4.16	2.35	0.17	0.15	0.55	3.91	1.37	1.85	1.25	4.72	1.13	1.37	1.38	1.06	1.38	2.04	6.67	4.16
A1CF	0	0	0	0.08	0	3.17	0	0	0	0	0	0	7.8	0	0	0	0.22	0	0	7.91	0.16	0	0	0
A2M	24.75	15.85	29.61	147.24	6.98	413.68	66.08	131.28	26.81	55.2	8.33	109.09	31.09	36.5	45.12	85.49	24.77	138.16	242.98	21.6	38.12	74.25	38.93	3.7
A2M-AS1	4.68	2.14	0.78	5.8	1.15	2.62	1.34	4.79	1.53	0.94	0	3.01	7.24	1.11	6.75	3.59	0.79	0	3.25	1.72	2.26	1.21	1.06	0.86
A2ML1	0	0.11	0	0	0	0	0	0	0.23	0.15	0	0	0	8.02	0	0.85	0	0	0	0	0	0	44.59	0
A2MP1	0	0.09	0	0	0	0	0	0	0	0	0	0.15	0	0	0.09	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0.69	0	0	0	0	0	0	0	0	0	0	0.61
A4GALT	2.81	20.56	4.93	4.34	0.29	13.2	72.33	2.59	5.89	3.76	2.78	10.97	1.43	48.2	3.7	1.77	8.48	3.88	3.27	11.64	9.76	38.78	12.91	2.91
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	18.49	12.84	16.89	22.87	9.19	24.83	32.64	14.11	9.94	9.56	21.19	20.54	22.58	12.08	15.8	11.36	25.08	41.38	9.75	21.2	12.18	37.59	35.04	14.49
AACS	14.52	10.8	12.94	18.07	11.82	25.2	32.13	13.44	18.42	33.87	36.53	10.78	28.46	12.24	20.21	15.33	25.35	7.27	6.52	22.18	15.17	23.04	30.95	12.72
AADAC	0	0	0.34	0	0	0	0	0	0	0	0	0	0	0	0.58	0.27	0	0.38	0	15.83	0	0	0	0.76
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0.38	0	0	0	0
AADACP1	0	0	5.42	0	0	0	0	0	0.33	3.37	0	0	5.3	0	0	0	0	0	0.46	0	0	0	0	0
AADAT	1.93	3.35	0.95	11.91	2.15	3.63	3.94	2.56	0	1.68	1.72	5.18	2.95	31.06	4.29	1.12	2.29	8.76	4.65	5.11	4.1	0.59	14.2	0
AAGAB	13.56	8.83	19.17	29.57	8.99	17.22	12.82	13.8	18.36	21.17	11.37	25.09	33.5	21.92	20.17	17.32	32.26	18.69	12.04	10.09	20.87	26.78	18.04	11.11
AAK1	59.9	28.47	28.11	66.37	20.22	53.51	70.35	21.37	14.83	30.12	30.31	45.25	16.95	128.11	45.62	24.55	20.06	21.69	27.09	33.1	20.03	35.66	59.09	26.48
AAMDC	3.38	3.18	10.58	14.87	7.66	4.39	4.47	6.66	3	6.54	4.17	5.87	3.03	9.14	6.69	2.3	8.38	4.99	4.09	5.98	3.51	6.18	7.89	4.03
AAMP	15.73	20.31	34.86	22.85	9.27	18.77	35.3	26.1	24.15	10.57	19.06	13.76	35.04	42.58	15.9	25.69	24.31	57.26	14.97	41.06	28.08	59.31	13.74	29.46
AANAT	0	0	0	2.04	0.29	0	0	0	0.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAR2	6.61	1.66	4.3	8.07	3.9	10.29	6.65	3.4	4.95	7.53	14.97	3.41	6.84	5.29	4.87	4.02	8.12	9.54	3.94	5.26	6.27	5.46	10.86	5.27
AARS1	16.94	10.21	19.91	26.05	18.75	22.45	30.82	21.42	45.38	22.81	26.8	11.68	27.96	53.95	29.7	32.22	33.9	23.6	15.63	27.69	27.13	21.59	53.55	16.52
AARS2	7.23	4.5	8.17	10.16	3.12	9.33	10.64	6.67	3.3	3.56	1.2	3.35	4.58	7.4	7.4	4.38	1.79	3.99	3.72	9.11	5.03	5.5	6.64	5.65
AARSD1	24.01	10.3	45.29	28.48	28.43	28.3	29.65	26.52	13.75	26.43	26.98	25.12	18.72	9.16	26.2	12.29	20.63	8.12	21.02	9.14	25.3	17.79	37.78	20.12
AASDH	5.89	3.51	6.22	12.54	4.73	5.18	2.84	7.34	8.36	5.74	8.84	7.93	2.48	8.91	10.12	4.82	10.7	1.14	8.9	3.46	6.15	2.02	2.49	5.63
AASDHPPT	7.79	3.21	28.83	12.41	11.68	8.82	5.43	9.14	19.7	14.04	3.65	10.7	7.59	15.89	10.3	7.69	12.8	4.5	10.34	9.55	8.64	2.35	2.77	8.84
AASS	11.47	6.89	5.28	13.2	12	11.43	15.18	10.01	36.43	6.39	10.66	14.92	3.74	2.42	9.22	8.14	2.85	4.75	12.9	1.35	5.01	3.98	8.51	1.91
AATF	28.77	10.17	38.49	23.46	6.32	17.41	27.05	21.11	13.05	12.8	14.6	8.98	7.57	29.11	33.03	16.51	13.35	28.86	7.87	27.31	18.87	17.32	37.08	36.09
AATK	7.85	1.12	1.88	0.8	0.54	15.43	9.14	1.76	10.62	1.45	1.13	2.38	0.11	1.1	0.67	2.36	7.68	8.96	2.21	1.36	3.63	5.51	5.09	0.22
ABAT	11.97	2.55	1.54	9.53	1.17	8.69	10.63	5.07	2.71	5.55	9.8	2.21	8.76	2.05	1.74	5.58	2.86	9.89	6.98	20.85	2.67	6.53	19.16	1.69
ABCA1	29.9	25.05	13.65	22.66	25.36	18.84	39.73	15.27	3.92	7.35	14.17	37.84	8.75	5.87	14.39	12.95	8.28	22.32	12.54	11.44	12.52	30.25	29.73	7.31
ABCA10	3.36	0.4	1.36	13.95	1.35	7.66	1.31	3.65	0.18	4.19	0	1.54	2.26	0	5.64	2.02	0.35	0.8	11.03	0	0.49	0	0.65	1.33
