signature,IP - ROC AUC,CV all datasets - ROC AUC,IP - AP,CV all datasets - AP,IP - MCC,CV all datasets - MCC
quanTIseq,0.6323529411764706,0.42780748663101603,0.2922619047619048,0.489805517006474,0.13080416089248587,-0.08388269992021519
MCP,0.39705882352941174,0.6951871657754011,0.23095238095238096,0.5878222740451843,-0.10846522890932808,0.3161338044144022
XCELL,0.42647058823529416,0.5320855614973263,0.20937499999999998,0.6227932695324,0.0,0.34479141358380555
EpiDISH_BPRNACan,0.2647058823529412,0.6363636363636365,0.15793803719500316,0.5931659907944493,-0.10846522890932808,0.38869157943029664
DeconRNASeq_BPRNACan,0.29411764705882354,0.4117647058823529,0.1649934012066365,0.39044826687847284,-0.10846522890932808,-0.15480678800427466
EpiDISH_BPRNACanProMet,0.3088235294117647,0.5187165775401069,0.16623931623931626,0.4757028856311153,-0.10846522890932808,0.06084554357361275
DeconRNASeq_BPRNACanProMet,0.6323529411764705,0.5347593582887701,0.27976190476190477,0.4982812666636196,-0.10846522890932808,0.11456837051138262
EpiDISH_BPRNACan3DProMet,0.27941176470588236,0.5347593582887701,0.1612689393939394,0.48921023175847633,-0.10846522890932808,0.06084554357361275
DeconRNASeq_BPRNACan3DProMet,0.7205882352941176,0.4331550802139037,0.37351190476190477,0.4252699851982149,0.0,0.0
EpiDISH_CBSX_NSCLC,0.48529411764705876,0.6042780748663102,0.2276315789473684,0.540606809381513,0.0,0.0
DeconRNASeq_CBSX_NSCLC,,0.43315508021390375,,0.4292077685477629,,0.0
EpiDISH_CBSX_HNSCC,0.7352941176470589,0.5240641711229947,0.44358974358974357,0.5642020693404093,0.0,0.34479141358380555
DeconRNASeq_CBSX_HNSCC,0.9117647058823529,0.5989304812834224,0.7678571428571428,0.544793428704912,0.0,0.0
EpiDISH_CBSX_melanoma,0.29411764705882354,0.481283422459893,0.17500000000000002,0.45693007230440386,0.0,0.23924685418842448
DeconRNASeq_CBSX_melanoma,,0.5080213903743316,,0.397383179021935,,0.0
EpiDISH_CBSX_LM22,0.7647058823529411,0.5775401069518717,0.4096590909090909,0.45565984967868256,0.0,0.0
DeconRNASeq_CBSX_LM22,0.8235294117647058,0.5828877005347595,0.475,0.47349076044728217,0.4624972900628803,0.1387491870188641
CIBERSORTx_CBSX_NSCLC,0.5294117647058824,0.6149732620320856,0.2261183261183261,0.5500453681016341,-0.15737789507292674,0.0
CIBERSORTx_CBSX_HNSCC,0.7352941176470589,0.5828877005347592,0.37499999999999994,0.6130961577081818,0.0,0.34479141358380555
CIBERSORTx_CBSX_melanoma,0.27941176470588236,0.42245989304812837,0.16175913547237078,0.3762499633521061,-0.01355815361366601,0.0
CIBERSORTx_CBSX_LM22,0.75,0.5401069518716577,0.6451048951048951,0.4687803218464693,0.6688560540599386,0.0
