CpGs	B	cancer	CD4	CD8	M0	M1	M2	Mono	Neu	NK	Treg
cg04246236	0.921000003814697	0.857142857142857	0.886500000953674	0.85699999332428	0.44650000333786	0.561000019311905	0.378499999642372	0.449499994516373	0.388000011444092	0.738499999046326	0.83950001001358
cg23725321	0.188999995589256	0.680253464242686	0.439999997615814	0.671999990940094	0.116999998688698	0.085499998182058	0.107999999076128	0.141499999910593	0.075000002980232	0.171499997377396	0.547499984502792
cg26458072	0.298000007867813	0.788690477609634	0.766999989748001	0.847499996423721	0.251000002026558	0.250999994575977	0.221000000834465	0.315499991178513	0.193000003695488	0.435500010848045	0.796499997377396
cg04611437	0.166999995708466	0.722527346440724	0.5625	0.665499985218048	0.106499999761581	0.131999999284744	0.124500002712011	0.189999997615814	0.086000002920628	0.300500005483627	0.618499994277954
cg04273871	0.111000001430511	0.548878205128205	0.118999999016523	0.176500000059605	0.049000000581145	0.074499998241663	0.075500000268221	0.092999998480082	0.089000001549721	0.062500001862645	0.110000003129244
cg00977469	0.975000023841858	0.945700245700246	0.970999985933304	0.960999995470047	0.928000003099442	0.944999992847443	0.949000000953674	0.837000012397766	0.019999999552965	0.986999988555908	0.977500021457672
cg15748507	0.370999991893768	0.626453488372093	0.249000005424023	0.435499995946884	0.13849999755621	0.172499999403954	0.092500001192093	0.180500000715256	0.166999995708466	0.125999998301268	0.306499995291233
cg27310068	0.141000002622604	0.63007496062078	0.095000002533197	0.129000004380941	0.061000000685453	0.050000000745058	0.075999999418855	0.057500001043081	0.054000001400709	0.026000000070781	0.079500000923872
cg13327545	0.360000014305115	0.809899985790253	0.364000007510185	0.567999988794327	0.177000001072884	0.181499995291233	0.118000000715256	0.137000001966953	0.111000001430511	0.271500006318092	0.266000002622604
cg04685387	0.391000002622604	0.930555555555555	0.77250000834465	0.753500014543533	0.339499995112419	0.302499994635582	0.383000001311302	0.283500000834465	0.296999990940094	0.486000001430511	0.696999996900558
cg25702512	0.934000015258789	0.938888667027156	0.930000007152557	0.859999984502792	0.282000005245209	0.247499994933605	0.224999994039536	0.126500003039837	0	0.902500003576279	0.896499991416931
cg24420366	0.984000027179718	0.954451501369476	0.962000012397766	0.956000000238419	0.427000001072884	0.354000002145767	0.308000013232231	0.25399999320507	0	0.957999974489212	0.974500000476837
cg10080832	0.75900000333786	0.062741348519921	0.766000002622604	0.648499995470047	0.70100000500679	0.670000016689301	0.777999997138977	0.671999990940094	0.648999989032745	0.73649999499321	0.44149999320507
cg18876294	0.666999995708466	0.889999988079071	0.100500002503395	0.375	0.045499999076128	0.010499999858439	0.041500001214445	0.058000000193715	0.300999999046326	0.495500013232231	0.484499990940094
cg26313719	0.976000010967255	0.942100970408855	0.960500001907349	0.960500001907349	0.947999984025955	0.96000000834465	0.952499985694885	0.952499985694885	0.303000003099442	0.966500014066696	0.962000012397766
cg04367345	0.193000003695488	0.699248364993504	0.111999999731779	0.177499994635582	0.043499998748303	0.052500000223517	0.09850000217557	0.042500000447035	0.03999999910593	0.069000001996756	0.094499997794628
cg03732020	0.873000025749207	0.936491935483871	0.927000015974045	0.958000004291534	0.358999997377396	0.358500003814697	0.435499995946884	0.318000003695488	0.266999989748001	0.787000000476837	0.889999985694885
cg00645579	0.493000000715256	0.89327380952381	0.750499993562698	0.868000000715256	0.046000000089407	0.079999998211861	0	0.007499999832362	0	0.536499992012978	0.684499979019165
cg11803771	0.101999998092651	0.875	0.478500008583069	0.265000000596046	0.074500000104308	0.075500000268221	0.01799999922514	0.02350000012666	0.00899999961257	0.030499999411404	0.415500000119209
cg23111945	0.843999981880188	0.213958657493717	0.885499984025955	0.78999999165535	0.941500008106232	0.94650000333786	0.915499985218048	0.900499999523163	0.958999991416931	0.967000007629395	0.692999988794327
cg20453460	0.718999981880188	0.914898008108139	0.819499999284744	0.941999971866608	0.026000000536442	0	0.019999999552965	0.010499999858439	0.03999999910593	0.722499996423721	0.914000004529953
cg05226335	0.938000023365021	0.9354166666665	0.91949999332428	0.856000006198883	0.579500019550323	0.562999993562698	0.398000001907349	0.373999997973442	0.194999992847443	0.684500008821487	0.953999996185303
cg06072036	0.929000020027161	0.958333364554814	0.958999991416931	0.914499998092651	0.107999999076128	0.122499998658895	0.061500001698732	0.058000000193715	0	0.836499989032745	0.950500011444092
cg06357748	0.71399998664856	0.988888888888889	0.737500011920929	0.877999991178513	0.546499997377396	0.549000009894371	0.399000018835068	0.414000004529953	0.426999986171722	0.591000005602837	0.817999988794327
