Samples	CBSX__Fig2ab-NSCLC_PBMCs_scRNAseq_sigmatrix__T_cells_CD8	CBSX__Fig2ab-NSCLC_PBMCs_scRNAseq_sigmatrix__Monocytes	CBSX__Fig2ab-NSCLC_PBMCs_scRNAseq_sigmatrix__T_cells_CD4	CBSX__Fig2ab-NSCLC_PBMCs_scRNAseq_sigmatrix__NKT_cells	CBSX__Fig2ab-NSCLC_PBMCs_scRNAseq_sigmatrix__B_cells	CBSX__Fig2ab-NSCLC_PBMCs_scRNAseq_sigmatrix__NK_cells
Mel53	0.7171941227555019	0	0.152561932841309	0.0674160428266388	0.0628279015765503	0
Mel58	0.87893909741001	0	0.09064491278791265	0	0.030415989802077478	0
Mel59	0.08132629281393335	0.0535204156751433	0	0	0.8233263830646776	0.0418269084462457
Mel60	0.1703939074178305	0	0.0481872106533157	0	0.7814188819288538	0
Mel65	0.39112611392889574	0	0.4727488019008186	0.04464740592359243	0.09147767824669328	0
Mel67	0.24596522557475403	0	0.5412224216484812	0	0.21281235277676483	0
Mel71	0.7039854405432553	0	0.15921996432910387	0.03094299328060573	0.10585160184703515	0
Mel72	0.03845069825543504	0	0.7796704112798627	0.01995565249581308	0.16192323796888913	0
Mel74	0.8277376282456078	0	0	0.03310049022374641	0.13916188153064582	0
Mel75	1	0	0	0	0	0
Mel78	0.02196194062680012	0	0.00662640673242628	0	0.9714116526407736	0
Mel79	0.721438331714674	0	0.1022215374728892	0.0067442735849442	0.1695958572274927	0
Mel80	0.39982554422211025	0	0.41292461087979426	0.06233963663643667	0.12491020826165893	0
Mel81	0.587929621122917	0	0.32999033765439584	0.05802711084436332	0.02405293037832375	0
Mel82	0.5529841180656548	0	0.31971583500626566	0.02798884655681883	0.09931120037126062	0
Mel84	0.48842089081063433	0	0.1441200205722896	0	0.3632855223012452	0.00417356631583091
Mel88	0.45670383140921167	0	0.1632406637771825	0.02716608687506903	0.3528894179385368	0
Mel89	0.3868353449206951	0	0.1251704235455635	0	0.48799423153374144	0
Mel94	0.00660861322404411	0	0.5386874560192082	0	0.4547039307567477	0
