Samples	CBSX__CCLE_TIL10__Cancer.cells	CBSX__CCLE_TIL10__B.cells	CBSX__CCLE_TIL10__Macrophages.M1	CBSX__CCLE_TIL10__Macrophages.M2	CBSX__CCLE_TIL10__Monocytes	CBSX__CCLE_TIL10__Neutrophils	CBSX__CCLE_TIL10__NK.cells	CBSX__CCLE_TIL10__T.cells.CD4	CBSX__CCLE_TIL10__T.cells.CD8	CBSX__CCLE_TIL10__Tregs	CBSX__CCLE_TIL10__Dendritic.cells
Mel53	0.06344968486194445	0.00806785711354684	0.07906588432938923	0.02759595599169496	0.00604409766039915	7.2146901991876e-4	0.15546473237830513	0.6021641242635725	0.05742619438122892	0	0
Mel58	0.05972533300097378	0.00887299264542621	0	0.01042079353643289	0.0033869677914522	9.2330085050116e-4	0.03916448045213471	0	0.7776188126287591	0.08649348882635773	0.01339383026796224
Mel59	0.02662266852240531	0	0.23571899736441876	0.0483062966708075	0	0	0	0.6889609281829128	3.9110925945573e-4	0	0
Mel60	0.05567653731005769	0.5830191504719096	0.00207703754491354	0.00947392387190139	0	0	0.05407726445646625	0.13554011960695933	0.07647414223034524	0.0804613269845746	0.00320049752287221
Mel65	0.04122432654683274	0.09822844781730218	0.00305632769262682	0	0.00233797870529738	0	0.11588540612860236	0.1250542602665116	0.419882420797866	0.1891462424056698	0.00518458963929116
Mel67	0.04481513305497406	0.19655896073188417	0.00910524203531652	0	0.01081741632785948	7.5935798629379e-4	0	0.5390267266787843	0.19891716318488775	0	0
Mel71	0.19604485789026604	0.00693151117384547	0.02484050526117437	0.00314482731011938	0	0.00468892193026185	0.08476201583069429	0.01519569821882071	0.4567995171619793	0.1896160860651467	0.01797605915769197
Mel72	0.03978845064490234	0.18619336592562769	0.00223457872518171	0.00217476898342482	0.01420430363187374	0	0.02838778458631995	0.5414650366659937	0.0701551806012806	0.11539653023539552	0
Mel74	0.08778059159646104	0.02262551783208882	0.02212561716149785	0	0	0.01010199117987155	0.0783827360306735	0.00215232449274544	0.49369545238503937	0.2345731360550277	0.0485626332665949
Mel75	0.02318483796688279	0	0.00132111810050397	0	0.0045473559884463	0	0	0	0.9221598184884041	0.0487868694557627	0
Mel78	0.07428862444297593	0.00435769292363784	0.00657280657667793	0.04926754570107694	0.09266668165817596	0.06532991145615556	0	0.6608324177890844	0.04668431945221538	0	0
Mel79	0.03289187853922602	0.12554883767825534	0.00172975925026925	0	0	2.9436009461951e-4	0	0	0.8136785219292274	0.0258566425084024	0
Mel80	0.10099220508220524	0.07852399249800911	0.00313449317075557	0	0	0.00341293652187771	0.06903525054879926	0.5354021424199223	0.08820499948557871	0.084144025440841555	0.03714995483201047
Mel81	0.06449396215940782	0.0071127341656924	0.00604575317694329	0.00183409895457207	0	0.00493612043512667	0.04609196759883325	0.6166205430597188	0.1661093072964046	0.08372690072738913	0.00302861242591193
Mel82	0.03190380996297909	0.02700413546841161	0.14485727422667197	0	0.02009621845354914	0	0.08965631863397704	0.14354422947322085	0.04552606043149431	0.4974119533496962	0
Mel84	0.04830438419140084	0.11692391634207117	0.1162374128498046	0	0.03934494061878888	0.0088638425678016	0.12302126129715192	0.2899412080794644	0.1296400483018066	0.05989160622324519	0.06783137952846484
Mel88	0.08174923017844299	0.06253977538104703	0.08368681815682637	0.11324629049778748	0	0	0.13563380842307804	0.23933555602631965	0.11117115814854012	0.1020030728493564	0.07063429033860197
Mel89	0.04810230614733459	0.23556124725838515	0.00574430468235831	0.0417232597587663	0.00232030570742773	0.0058055925035182	0.00954522900130174	0.19189476961675883	0.3848935751871926	0.07440941013695658	0
Mel94	0.03297331360640471	0.323946555156068	0.00490797958995486	0.02333661170932541	0	0.00292991661202815	0.01754891807231615	0.5149865282130316	0.07170389507677044	0	0.00766628196410058
