Samples	CBSX__Fig2ab-NSCLC_PBMCs_scRNAseq_sigmatrix__T_cells_CD8	CBSX__Fig2ab-NSCLC_PBMCs_scRNAseq_sigmatrix__Monocytes	CBSX__Fig2ab-NSCLC_PBMCs_scRNAseq_sigmatrix__T_cells_CD4	CBSX__Fig2ab-NSCLC_PBMCs_scRNAseq_sigmatrix__NKT_cells	CBSX__Fig2ab-NSCLC_PBMCs_scRNAseq_sigmatrix__B_cells	CBSX__Fig2ab-NSCLC_PBMCs_scRNAseq_sigmatrix__NK_cells
453W	0	0.09577357017908204	0.18423094447983857	0.26039889629866486	0.31228072064977747	0.14731586839263713
684C	0.12097429828685095	0.04615667016618507	0.29889203550458576	0.08707915382643085	0.41922249203321565	0.02767535018273156
CR3L	0.05460055435496072	0.05356551007763481	0.35641217499821093	0.03106510449359546	0.4464807959493456	0.05787586012625243
FLWA	0.10434339982334108	0.1486542583873681	0.20466527916669172	0.04899814806691666	0.346298119807083	0.14704079474859946
FY2H	0.0488523381597501	0.20503538662236523	0.13311458587919386	0.1997071029946079	0.41263863111779847	6.5195522628453e-4
CYFZ	0.18513552687079457	0.06627186229921687	0.147253435571226	0.15563655734278797	0.36398897480556025	0.08171364311041435
925L	0.08964741466874633	0.11435051099170092	0.1465666987825207	0.14793678359051168	0.4871705058070516	0.0143280861594686
9JD4	0.01242875145356796	0.08349153773450495	0.409154933985327	0.08515516324454625	0.3094478983407195	0.10032171524133449
G4YW	0.05460691314806263	0.2090276965453723	0.23267705483146503	0.11172450775527248	0.355224298914466	0.03673952880536142
4DUY	0.03540735499446693	0.12846167893607727	0.38258590100200346	0.08469924737693449	0.35397785733390763	0.01486796035661031
CZJE	0.07795895306111683	0.0716237174551555	0.20575782503382348	0.03107097575212199	0.5251887909970718	0.08839973770071037
36TS	0.03095115375509411	0.2135251389248869	0.2611141162313586	0.09709276802630556	0.34659565867505293	0.05072116438730201
