signature,IP - ROC AUC,CV all datasets - ROC AUC,IP - AP,CV all datasets - AP,IP - MCC,CV all datasets - MCC
quanTIseq,0.6323529411764706,0.4385026737967914,0.2922619047619048,0.49599316993325737,0.13080416089248587,-0.08388269992021519
MCP,0.6470588235294117,0.6951871657754011,0.30192307692307696,0.5878222740451843,-0.19802950859533489,0.22927937978192153
XCELL,0.7058823529411764,0.5401069518716578,0.31726190476190474,0.5843309006991871,0.01355815361366601,0.43064433753916403
EpiDISH_BPRNACan,0.27941176470588236,0.6363636363636365,0.16114316540013135,0.5931659907944493,-0.10846522890932808,0.38869157943029664
DeconRNASeq_BPRNACan,0.3088235294117647,0.4117647058823529,0.16811840120663651,0.39044826687847284,-0.10846522890932808,-0.15480678800427466
EpiDISH_BPRNACanProMet,0.3088235294117647,0.49732620320855614,0.16623931623931626,0.46351110288597286,-0.10846522890932808,0.006819150516320993
DeconRNASeq_BPRNACanProMet,0.6176470588235294,0.5721925133689839,0.27142857142857146,0.5502560637130015,-0.10846522890932808,0.22927937978192153
EpiDISH_BPRNACan3DProMet,0.27941176470588236,0.6096256684491979,0.1612689393939394,0.5762505962474759,-0.10846522890932808,0.29854071701326607
DeconRNASeq_BPRNACan3DProMet,0.75,0.4278074866310161,0.39299242424242425,0.4221118107481744,0.0,-0.24186655996847442
EpiDISH_CBSX_NSCLC,0.3088235294117647,0.5668449197860963,0.16658653846153848,0.4766456043461392,0.0,-0.15480678800427466
DeconRNASeq_CBSX_NSCLC,,0.4385026737967914,,0.43441731525928595,,0.0
EpiDISH_CBSX_HNSCC,0.5882352941176471,0.5240641711229947,0.3373949579831933,0.5642020693404093,0.038348249442368525,0.34479141358380555
DeconRNASeq_CBSX_HNSCC,,0.5454545454545454,,0.47828323709590614,,0.0
EpiDISH_CBSX_melanoma,0.22058823529411767,0.5508021390374331,0.15,0.5503692457639826,-0.38235294117647056,0.1977553649733088
DeconRNASeq_CBSX_melanoma,,0.53475935828877,,0.4216652972070929,,0.0
EpiDISH_CBSX_LM22,0.6764705882352942,0.6310160427807486,0.32976190476190476,0.5295290147562874,0.07352941176470588,0.006819150516320993
DeconRNASeq_CBSX_LM22,0.8235294117647058,0.5828877005347595,0.475,0.47349076044728217,0.4624972900628803,0.1387491870188641
CIBERSORTx_CBSX_NSCLC,0.5294117647058824,0.6631016042780749,0.2261183261183261,0.5789879312606585,-0.15737789507292674,0.1387491870188641
CIBERSORTx_CBSX_HNSCC,0.7941176470588236,0.5828877005347592,0.6666666666666666,0.6130961577081818,0.38235294117647056,0.34479141358380555
CIBERSORTx_CBSX_melanoma,0.3235294117647059,0.5454545454545454,0.17110177404295052,0.5314685128799961,-0.23008949665421113,0.34479141358380555
CIBERSORTx_CBSX_LM22,0.7058823529411764,0.5668449197860963,0.6291666666666667,0.525998075998076,0.17149858514250885,0.07269833993085317
