Samples	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__Malignant	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__Endothelial_cells	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__CAF	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__T_cells_CD8	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__NK_cells	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__Macrophages	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__T_cells_CD4	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__B_cells
453W	0	0	0	0	0.1499227180023317	0.22136492481372205	0.5083304953114117	0.12038186187253452
684C	0	0	0	0.04907488757073341	0.10300273519830708	0.24467023246375008	0.4126560732677676	0.19059607149944177
CR3L	0	0	0	0	0.09907747814444565	0.2156444615823745	0.3975333170349148	0.28774474323826515
FLWA	0	0	0	0	0.1628071964048351	0.22848551289846727	0.4291115426136808	0.1795957480830168
FY2H	0	0	0	0.00544616819858818	0.07652786690120332	0.4206159668359436	0.2672625902189713	0.23014740784529372
CYFZ	0	0	0	0.07748513277608168	0.184828836267435	0.20838598605218311	0.3919456254538162	0.13735441945048382
925L	0	0	0	0	0.16783070035545222	0.18434324051545856	0.457218149003134	0.19060791012595507
9JD4	0	0	0	0	0.12183122427883432	0.1972556322618284	0.5549636799147517	0.12594946354458544
G4YW	0	0	0	0	0.17043550898698312	0.25587149783800717	0.474118943536574	0.09957404963843572
4DUY	0	0	0	0	0.10076706469610151	0.19055609082224167	0.574168330066383	0.1345085144152737
CZJE	0	0	0	0	0.1253936693786462	0.2057853976685596	0.39866258887134864	0.2701583440814456
36TS	0	0	0	0	0.10887730773193512	0.272628128989941	0.46029013832870785	0.15820442494941608
