Samples	CBSX__CD226__B	CBSX__CD226__CD4	CBSX__CD226__CD8CD226negNoAct	CBSX__CD226__CD8CD226negPostAct	CBSX__CD226__CD8CD226plusNoAct	CBSX__CD226__CD8CD226plusPostAct	CBSX__CD226__M1	CBSX__CD226__M2	CBSX__CD226__Mono	CBSX__CD226__Neu	CBSX__CD226__NK
Mel53	0.23574329032947347	0.4235409010530487	0	0	0.04261545379773632	0.01126580143763101	0.06042164355123901	0.07866979114189547	0.09824281099115928	0.01723110001709136	0.03226920768072539
Mel58	0.2788291212167276	0.5308655861086498	0.02372024718827421	0	0.00844175101869758	0.00619598324640762	0.01666602409715144	0.01973851410261224	0.06775224474185929	0.00240925811444659	0.04538127016517388
Mel59	0.16011963173493127	0.4656978167738154	0	0	0.04303915448128383	0.02988259856427103	0.12675643825123356	0.04720807211860973	0.09647527826411632	0.01730265640853423	0.01351835340320466
Mel60	0.3135291654134387	0.4594541659730969	0	0	0.02995169832948281	0.01437335072868254	0.04448949457837896	0.02967868420794489	0.07026199294928641	0.01934693021298765	0.01891451760670118
Mel65	0.30671916139714744	0.502620577207183	0.02153805103269882	0	0.02998575064077886	0.01582743226133405	0.01835399758417846	0.01925532559529467	0.06710094251738362	0.00342787207177404	0.01517088969222709
Mel67	0.263147570233314	0.4635724389400944	6.1129052560425e-4	0	0.04185232373965826	0.02481044857493793	0.03036587557414367	0.06630398330721561	0.07656361638606829	0.01805580579264059	0.01471664692632313
Mel71	0.24265222979516216	0.4655238665883848	0	0	0.03040333785706154	0.0091649222745826	0.06130607782095664	0.02743278575901711	0.09306102718558436	0.02774978381363502	0.04270596890561576
Mel72	0.2701257333995416	0.5976514633496256	0.06718688875794313	0	0	0.0051071032577328	0.00316915716446616	0.00226329375030727	0.02461763090800261	0.00365899242139694	0.02621973699098395
Mel74	0.2610249293689512	0.4826028496990643	0.02980981827372376	0	0.0056275832627363	0.01285369413970281	0.03054058776202012	0.04269167002264582	0.07860946937824435	0.00293177816198229	0.05330761993092899
Mel75	0.25349995191145386	0.44082731209291665	0	0.02960886823063933	0.06770671046436466	0.02245551430474652	0.03451667998547946	0.02691557285239552	0.06807161574499675	0.00305359978120761	0.05334417463179946
Mel78	0.27420291145648795	0.48618685707701714	0.00321168041240098	0	0.03921781258676516	0.02264429395043202	0.03227726535288289	0.04882142447465442	0.08213473473908356	0	0.01130301995027586
Mel79	0.3200729074422357	0.5425822084468388	0.04924355643067043	0	0	0.00507905219635888	0.00241391217807847	0.01296371928563412	0.04921238600406956	0	0.01843225801611401
Mel80	0.2257398846745118	0.40416722878377587	0	0	0.04815576119570171	0.03123850079978027	0.06440721114701646	0.09976179327057998	0.08648833617734067	0.01929899264778871	0.02074229130350446
Mel81	0.2436001538142313	0.4548301473953685	0	0	0.02776570146459188	0.01253065209149841	0.03042431726124765	0.09369285259933222	0.09202235383944413	0.01952922184457714	0.02560459968970882
Mel82	0.23760043202935155	0.44118644266639473	0.00790568276900927	0	0.03166411342970124	0.02128879091598563	0.0945315553750662	0.01603842567992809	0.10589227358906704	0.02540285630881349	0.01848942723668284
Mel84	0.2583640633424243	0.4333226633734939	0	0	0.039469202528619	0.01317200553359591	0.05088809020187216	0.05036100002724298	0.10458834244117764	0.03215341092118821	0.01768122163038591
Mel88	0.22704522202594293	0.41527435278063535	0	0	0.03409116799551958	0.02154811767690296	0.08763271422553226	0.06927503581396705	0.099650436559400285	0.02402948886706583	0.02145346405503369
Mel89	0.30684027862677077	0.47135457656392565	0	0	0.05019447834208426	0.01219601280527599	0.01938828193619455	0.02311313083545569	0.08720884981128134	0.01050891879206182	0.0191954722869499
Mel94	0.30011515002479344	0.5136591502261121	0	0	0.03693880916222624	0.0103853197808095	0.03241910044329295	0.01276884274015997	0.07526570142255454	0	0.01844792620005122
