signature,TMB - coef prop,SEX - coef prop,AAGE - coef prop,SEX - ROC AUC,SEX deconv only - ROC AUC,SEX - diff ROC AUC,AAGE - ROC AUC,AAGE deconv only - ROC AUC,AAGE - diff ROC AUC,TMB - ROC AUC,TMB deconv only - ROC AUC,TMB - diff ROC AUC,SEX - AP,SEX deconv only - AP,SEX - diff AP,AAGE - AP,AAGE deconv only - AP,AAGE - diff AP,TMB - AP,TMB deconv only - AP,TMB - diff AP,SEX - MCC,SEX deconv only - MCC,SEX - diff MCC,AAGE - MCC,AAGE deconv only - MCC,AAGE - diff MCC,TMB - MCC,TMB deconv only - MCC,TMB - diff MCC
quanTIseq,0.09628736696407883,,,,,,,,,0.8809523809523809,,,,,,,,,0.8736394557823131,,,,,,,,,0.2828894749305018,,
MCP,,0.0,0.0,0.4444444444444444,0.4444444444444444,0.0,0.4444444444444444,0.4444444444444444,0.0,,,,0.5846705990088343,0.4861645299145299,0.09850606909430443,0.5846705990088343,0.4861645299145299,0.09850606909430443,,,,0.0,0.16735967034880075,-0.16735967034880075,0.0,0.16735967034880075,-0.16735967034880075,,,
XCELL,,0.0,0.0,0.5833333333333334,0.638888888888889,-0.05555555555555558,0.638888888888889,0.638888888888889,0.0,,,,0.5130612443112443,0.548989898989899,-0.03592865467865469,0.548989898989899,0.548989898989899,0.0,,,,0.2030905986149808,0.6085806194501846,-0.4054900208352038,0.6085806194501846,0.6085806194501846,0.0,,,
EpiDISH_BPRNACan,,0.0,0.0,0.5138888888888888,0.5138888888888888,0.0,0.5138888888888888,0.5138888888888888,0.0,,,,0.49995421245421245,0.49995421245421245,0.0,0.49995421245421245,0.49995421245421245,0.0,,,,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.0,,,
DeconRNASeq_BPRNACan,0.27950659239267434,0.03088117574515428,0.03600395089337221,0.4166666666666667,0.4305555555555556,-0.013888888888888895,0.4583333333333333,0.4305555555555556,0.027777777777777735,0.7380952380952381,0.3571428571428571,0.38095238095238104,0.47948683261183267,0.4818181818181818,-0.0023313492063491426,0.4940972222222222,0.4818181818181818,0.012279040404040376,0.8373376623376623,0.6237175522889808,0.21362011004868142,-0.2030905986149808,-0.09128709291752769,-0.1118035056974531,-0.2030905986149808,-0.09128709291752769,-0.1118035056974531,0.39477101697586137,0.2672612419124244,0.12750977506343697
EpiDISH_BPRNACanProMet,,0.0028917380987952632,0.021569736482590748,0.4444444444444444,0.4444444444444444,0.0,0.4305555555555556,0.4444444444444444,-0.01388888888888884,,,,0.5175820707070706,0.5175820707070706,0.0,0.5120265151515151,0.5175820707070706,-0.005555555555555536,,,,-0.18055555555555555,-0.18055555555555555,0.0,-0.18055555555555555,-0.18055555555555555,0.0,,,
DeconRNASeq_BPRNACanProMet,0.046994574361866444,0.0,0.0,0.6111111111111112,0.6111111111111112,0.0,0.5694444444444444,0.6111111111111112,-0.04166666666666674,0.6428571428571428,0.5714285714285714,0.0714285714285714,0.6568910256410256,0.6568910256410256,0.0,0.6297348484848484,0.6568910256410256,-0.02715617715617724,0.7023036487322201,0.6726551226551227,0.029648526077097337,0.181848241863327,0.181848241863327,0.0,0.0,0.181848241863327,-0.181848241863327,0.09759000729485333,0.09759000729485333,0.0
EpiDISH_BPRNACan3DProMet,,0.0,0.017584393526865624,0.4722222222222222,0.41666666666666663,0.05555555555555558,0.4027777777777778,0.41666666666666663,-0.01388888888888884,,,,0.5271516677766679,0.5129682817182817,0.014183386058386205,0.5062718531468531,0.5129682817182817,-0.006696428571428603,,,,-0.24514516892273003,-0.2030905986149808,-0.04205457030774923,-0.2030905986149808,-0.2030905986149808,0.0,,,
DeconRNASeq_BPRNACan3DProMet,0.4445394645001449,,,,,,,,,0.47619047619047616,,,,,,,,,0.6036023500309214,,,,,,,,,-0.03289758474798845,,
EpiDISH_CBSX_NSCLC,0.1287451405123627,,,,,,,,,0.6190476190476191,0.5476190476190477,0.0714285714285714,,,,,,,0.7359366823652538,0.7062881562881562,0.02964852607709756,,,,,,,0.2828894749305018,0.09759000729485333,0.18529946763564847
