signature,TMB - coef prop,SEX - coef prop,AAGE - coef prop,SEX - ROC AUC,SEX deconv only - ROC AUC,SEX - diff ROC AUC,AAGE - ROC AUC,AAGE deconv only - ROC AUC,AAGE - diff ROC AUC,TMB - ROC AUC,TMB deconv only - ROC AUC,TMB - diff ROC AUC,SEX - AP,SEX deconv only - AP,SEX - diff AP,AAGE - AP,AAGE deconv only - AP,AAGE - diff AP,TMB - AP,TMB deconv only - AP,TMB - diff AP,SEX - MCC,SEX deconv only - MCC,SEX - diff MCC,AAGE - MCC,AAGE deconv only - MCC,AAGE - diff MCC,TMB - MCC,TMB deconv only - MCC,TMB - diff MCC
quanTIseq,0.9340196805474527,,,,,,,,,0.5238095238095237,,,,,,,,,0.6395691609977324,,,,,,,,,0.0,,
MCP,0.1383253863289021,0.0,0.0,0.4444444444444444,0.5,-0.05555555555555558,0.4444444444444444,0.5,-0.05555555555555558,0.5952380952380952,0.7857142857142858,-0.19047619047619058,0.5846705990088343,0.5202380952380952,0.06443250377073917,0.5846705990088343,0.5202380952380952,0.06443250377073917,0.6750360750360749,0.7295918367346939,-0.054555761698618976,0.0,-0.1272937693043289,0.1272937693043289,0.0,-0.1272937693043289,0.1272937693043289,0.0,0.0,0.0
XCELL,0.022087474973687578,0.0,0.0022593914027249206,0.8194444444444445,0.638888888888889,0.18055555555555558,0.638888888888889,0.638888888888889,0.0,0.5952380952380952,0.5476190476190477,0.04761904761904756,0.7885281385281385,0.548989898989899,0.2395382395382395,0.548989898989899,0.548989898989899,0.0,0.5881880024737167,0.5742019884877028,0.013986013986013957,0.26516504294495535,0.5229763603684907,-0.25781131742353536,0.5229763603684907,0.5229763603684907,0.0,0.0,0.0,0.0
EpiDISH_BPRNACan,0.12718361440060486,0.0,0.0,0.5138888888888888,0.5138888888888888,0.0,0.5,0.5138888888888888,-0.01388888888888884,0.738095238095238,0.8095238095238095,-0.07142857142857151,0.49995421245421245,0.49995421245421245,0.0,0.49427239427239433,0.49995421245421245,-0.005681818181818121,0.8163265306122447,0.8983516483516483,-0.08202511773940357,-0.05555555555555555,0.05555555555555555,-0.1111111111111111,0.16735967034880075,0.05555555555555555,0.1118041147932452,0.0,0.0,0.0
DeconRNASeq_BPRNACan,0.21698669635791556,0.0,0.0354383834820279,0.4027777777777778,0.4027777777777778,0.0,0.4583333333333333,0.4027777777777778,0.055555555555555525,0.8095238095238095,0.33333333333333337,0.47619047619047616,0.43424873737373737,0.47284382284382287,-0.0385950854700855,0.4940972222222222,0.47284382284382287,0.021253399378399318,0.8766233766233766,0.6173683459397745,0.2592550306836021,0.0,-0.2030905986149808,0.2030905986149808,-0.2030905986149808,-0.2030905986149808,0.0,0.50709255283711,0.0,0.50709255283711
EpiDISH_BPRNACanProMet,0.09059505781088814,0.0,0.0,0.4444444444444445,0.4166666666666667,0.02777777777777779,0.4166666666666667,0.4166666666666667,0.0,0.6904761904761905,0.6428571428571428,0.04761904761904767,0.534396853146853,0.5072188228438228,0.02717803030303023,0.5108173076923077,0.5072188228438228,0.0035984848484849064,0.773051948051948,0.7555555555555555,0.017496392496392454,0.181848241863327,-0.3098898934004561,0.49173813526378307,-0.3098898934004561,-0.3098898934004561,0.0,0.14085904245475275,0.14085904245475275,0.0
DeconRNASeq_BPRNACanProMet,0.25086539891187937,0.0,0.0,0.5833333333333334,0.5972222222222222,-0.01388888888888884,0.5694444444444444,0.5972222222222222,-0.02777777777777779,0.5,0.21428571428571425,0.28571428571428575,0.6345425407925408,0.6402243589743589,-0.005681818181818121,0.6226377788877788,0.6402243589743589,-0.017586580086580095,0.6113945578231292,0.6043956043956045,0.006998953427524768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EpiDISH_BPRNACan3DProMet,,0.0,0.0,0.5416666666666666,0.4722222222222222,0.06944444444444442,0.5416666666666666,0.4722222222222222,0.06944444444444442,,,,0.5743589743589743,0.5299294455544455,0.04442952880452877,0.5743589743589743,0.5299294455544455,0.04442952880452877,,,,0.181848241863327,0.0,0.181848241863327,0.181848241863327,0.0,0.181848241863327,,,
DeconRNASeq_BPRNACan3DProMet,0.45000350050066124,,,,0.4861111111111111,,,0.4861111111111111,,0.47619047619047616,0.2857142857142857,0.19047619047619047,,0.4991258741258741,,,0.4991258741258741,,0.6036023500309214,0.5380032665746952,0.06559908345622623,,0.0,,,0.0,,-0.03289758474798845,0.2672612419124244,-0.3001588266604128
EpiDISH_CBSX_NSCLC,0.19291049324124132,,,,,,,,,0.6428571428571428,0.5476190476190477,0.09523809523809512,,,,,,,0.7495421245421245,0.7062881562881562,0.04325396825396832,,,,,,,0.14085904245475275,0.09759000729485333,0.043269035159899424
DeconRNASeq_CBSX_NSCLC,,0.0,0.0,0.5138888888888888,0.5138888888888888,0.0,0.5138888888888888,0.5138888888888888,0.0,,,,0.6650464731347084,0.6650464731347084,0.0,0.6650464731347084,0.6650464731347084,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
EpiDISH_CBSX_HNSCC,0.015418566017931404,,,,,,,,,0.5238095238095238,0.5238095238095238,0.0,,,,,,,0.6793040293040293,0.6793040293040293,0.0,,,,,,,0.0,0.0,0.0
DeconRNASeq_CBSX_HNSCC,0.18748036934519924,,,,,,,,,0.4523809523809524,0.4523809523809524,0.0,,,,,,,0.5246031746031745,0.5376373626373625,-0.013034188034187988,,,,,,,-0.4605661864718383,0.0,-0.4605661864718383
EpiDISH_CBSX_melanoma,0.047465790685141486,0.0,0.0,0.47222222222222227,0.47222222222222227,0.0,0.47222222222222227,0.47222222222222227,0.0,0.8333333333333334,0.6428571428571429,0.19047619047619047,0.4746221405228758,0.4746221405228758,0.0,0.4746221405228758,0.4746221405228758,0.0,0.8121315192743763,0.6210884353741496,0.19104308390022673,-0.1272937693043289,-0.1272937693043289,0.0,-0.1272937693043289,-0.1272937693043289,0.0,-0.03289758474798845,-0.2253744679276044,0.19247688317961595
DeconRNASeq_CBSX_melanoma,0.14960111862247752,0.0,0.0,0.375,0.375,0.0,0.375,0.375,0.0,0.9285714285714286,0.7380952380952381,0.19047619047619047,0.42221638655462185,0.42221638655462185,0.0,0.42221638655462185,0.42221638655462185,0.0,0.9571428571428571,0.7881880024737167,0.1689548546691404,0.0,0.0,0.0,0.0,0.0,0.0,0.39477101697586137,0.39477101697586137,0.0
